epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.09321287936749632,0.7188876903951168,0.09617368131875992,956.5,694.0,709.8,1514.0,3104,0,0,163,0,0,0,0
2,0.08898385596330627,0.7228689353764057,0.09279385954141617,841.8,592.5,783.4,1514.0,3104,0,0,69,0,0,0,0
3,0.08749432762302023,0.7319981544800103,0.100350022315979,739.6,476.8,869.5,1514.0,3104,0,0,43,0,0,0,0
4,0.08621030632129999,0.7420197340995073,0.09506285935640335,714.7,493.1,878.4,1516.0,3104,0,0,45,0,0,0,0
