epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.04203031875680622,0.46315000046342614,0.17471131682395935,681.0,631.1,6351.1
2,0.006656726610831091,0.4785500001311302,0.14306974411010742,679.1,619.1,6766.6
3,0.003547813145236412,0.45885000400841236,0.16327330470085144,671.9,631.4,8327.4
4,0.0023303068761484904,0.45915000110417603,0.1648460179567337,675.3,598.0,9406.2
5,0.001782560117722281,0.4571000011831522,0.16331224143505096,652.4,611.9,9406.2
6,0.0020600530684433743,0.46600000166296957,0.18219025433063507,661.1,612.1,9406.2
7,0.0018572946142470358,0.463150000038743,0.19580192863941193,657.4,609.9,9406.2
8,0.001635879840602221,0.48604999753534794,0.18574850261211395,660.6,611.4,9406.2
9,0.00128553842077144,0.4732000006437302,0.1515466719865799,653.2,605.5,9406.2
10,0.0017456460754408049,0.48780000275820495,0.1250227689743042,647.6,596.3,9406.2
11,0.0018454566148549186,0.46090000105947254,0.1755904257297516,644.8,599.2,9406.2
12,0.0013613727168535193,0.49930000150352716,0.16310451924800873,649.3,599.5,9406.2
13,0.0013311424303107929,0.4651999997720122,0.18151703476905823,659.2,609.9,9406.2
14,0.001911096710843695,0.4782499946817756,0.19901755452156067,665.8,610.9,9406.2
15,0.0013994828148746748,0.46635000324100256,0.15646781027317047,567.2,558.0,9406.2
16,0.0014671783866015687,0.4915000053808093,0.18260310590267181,553.7,557.2,9406.2
17,0.001341412450380424,0.488700001052022,0.20960994064807892,556.3,545.3,9406.2
18,0.0011571567705939445,0.46789999579936264,0.16829338669776917,558.1,547.8,9406.2
19,0.0011099655017685704,0.4903000057592988,0.13790491223335266,556.3,555.0,9406.2
20,0.0013414792438897376,0.4677499924868345,0.17343050241470337,555.2,567.2,9406.2
