split,activity,n_sample,dt_q,dt_uncapped_q,gap_used_q,gap_since_update_q,gap_since_interaction_q,preact_q,time_term_q
test,closure,24304,"[0.25, 0.25, 0.25, 0.25, 0.25]","[628.941351, 1097.233826, 2026.560059, 2671.377686, 4101.422925]","[86400.0, 86400.0, 86400.0, 86400.0, 86400.0]","[86400.0, 86400.0, 86400.0, 172800.0, 604800.0]","[172800.0, 2682000.0, 21423600.0, 99450000.0, 147567600.0]","[627.717413, 1096.009827, 2025.336121, 2670.153809, 4100.198804]","[1.223938, 1.223938, 1.223938, 1.223938, 1.223938]"
test,endpoint,4178,"[0.25, 0.25, 0.25, 0.25, 0.25]","[6.179904, 1757.906494, 2841.890869, 4333.161499, 7479.259399]","[86400.0, 86400.0, 86400.0, 86400.0, 86400.0]","[86400.0, 86400.0, 172800.0, 1900800.0, 40647600.0]","[86400.0, 86400.0, 432000.0, 3024000.0, 45378900.0]","[4.953893, 1756.682495, 2840.666992, 4331.937378, 7478.035278]","[1.223938, 1.223938, 1.223938, 1.223938, 1.223938]"
train_replay,closure,120088,"[0.25, 0.25, 0.25, 0.25, 0.25]","[598.604059, 946.359497, 1939.616943, 2655.809509, 3952.236621]","[86400.0, 86400.0, 86400.0, 86400.0, 86400.0]","[86400.0, 86400.0, 86400.0, 86400.0, 518400.0]","[172800.0, 1468800.0, 7254000.0, 27043200.0, 75078000.0]","[597.380121, 945.135559, 1938.392944, 2654.585632, 3951.012744]","[1.223938, 1.223938, 1.223938, 1.223938, 1.223938]"
train_replay,endpoint,19419,"[0.25, 0.25, 0.25, 0.25, 0.25]","[5.468008, 1415.144897, 2753.92334, 4347.034912, 8037.927686]","[86400.0, 86400.0, 86400.0, 86400.0, 86400.0]","[86400.0, 86400.0, 86400.0, 691200.0, 16412940.0]","[86400.0, 86400.0, 345600.0, 1987200.0, 19696320.0]","[4.240454, 1413.920898, 2752.699463, 4345.810791, 8036.703564]","[1.223938, 1.223938, 1.223938, 1.223938, 1.223938]"
val,closure,27599,"[0.25, 0.25, 0.25, 0.25, 0.25]","[612.022217, 975.541687, 1848.596436, 2619.734375, 3845.972095]","[86400.0, 86400.0, 86400.0, 86400.0, 86400.0]","[86400.0, 86400.0, 86400.0, 172800.0, 604800.0]","[259200.0, 2593800.0, 19098000.0, 81990000.0, 120873600.0]","[610.798279, 974.317749, 1847.372559, 2618.510498, 3844.748218]","[1.223938, 1.223938, 1.223938, 1.223938, 1.223938]"
val,endpoint,4412,"[0.25, 0.25, 0.25, 0.25, 0.25]","[5.989077, 1689.284851, 2808.685669, 4301.325195, 7231.856299]","[86400.0, 86400.0, 86400.0, 86400.0, 86400.0]","[86400.0, 86400.0, 86400.0, 1728000.0, 42713280.0]","[86400.0, 86400.0, 432000.0, 3110400.0, 46810800.0]","[4.76263, 1688.060944, 2807.461792, 4300.101074, 7230.632178]","[1.223938, 1.223938, 1.223938, 1.223938, 1.223938]"
