epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.12901004605299357,0.07750000025838613,0.12096978724002838,150.1,183.4,7806.0
2,0.02452446039461968,0.07985999917209148,0.09051858633756638,150.1,183.8,7815.0
3,0.031496259840015244,0.07905999939367175,0.09409584105014801,150.9,189.7,7815.0
4,0.0197530803270638,0.10068000016361475,0.06843186914920807,150.7,189.4,7815.0
5,0.017053483928344687,0.08596000033065676,0.09495373070240021,150.8,188.7,7815.0
6,0.018911136950993418,0.07180000030860305,0.06154830381274223,151.9,188.6,7815.0
7,0.02728365288515176,0.06123999882929027,0.31580254435539246,150.8,189.9,7815.0
8,0.021078234709495186,0.0791999990415573,0.07070425897836685,150.5,188.5,8185.3
9,0.016918535648407985,0.09213999865174294,0.05728736147284508,150.0,187.0,8185.3
10,0.02328049370600861,0.07658000013366342,0.1895405501127243,149.7,186.4,8185.3
11,0.02213528142215646,0.01777999994367361,3.2105157375335693,148.6,186.1,8185.3
12,0.044378648426535786,0.07499999977782369,0.10294970124959946,149.6,192.2,8357.7
13,0.03143043046323012,0.08688000018119812,0.08753102272748947,154.7,196.4,9935.3
14,0.023848981672555815,0.01928000011047814,0.29901769757270813,150.6,186.0,10439.0
15,0.025278563136044815,0.08064000095948577,0.06873223185539246,149.1,190.1,10439.0
