candidate,offset_periods,length_periods,unit_sec_or_years,label_days_checked,pairs,max_abs_err_mean,max_abs_err_max,frac_pairs_exact_1e6
same_period,0,1,86400,24,3807,0.41632570860635404,1.0,0.0
next_period,1,1,86400,24,3807,0.41598205432302227,1.0,0.0005253480430785396
prev_period,-1,1,86400,24,3807,0.41854958310471907,1.0,0.0
next_7,0,7,86400,24,3807,0.3077004830986965,1.0,0.0
next_8_incl,0,8,86400,24,3807,0.30970788254635895,1.0,0.0
prev_7,-7,7,86400,24,3807,0.3606730558879788,1.0,0.0
next_7_from_+1,1,7,86400,24,3807,0.3074041862924839,1.0,0.0
window_-1_+7,-1,8,86400,24,3807,0.3097220304326874,1.0,0.0
