epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.07805553137571836,0.7581800020992756,0.06982261687517166,155.1,191.7,17704.0
2,0.009965435891621272,0.7605600020539761,0.05159902572631836,154.2,191.2,17719.2
3,0.005771526282805265,0.7614399989593029,0.02925301529467106,153.4,187.4,17719.4
4,0.006649462653476061,0.7619800071275235,0.029663633555173874,153.8,187.6,17719.4
5,0.005556167637910314,0.7657600033104419,0.02531852386891842,153.4,191.3,17719.4
6,0.004155821836914639,0.7636999931168557,0.02246442437171936,156.4,189.6,17719.4
7,0.003957981322131747,0.7628199931621551,0.02639544941484928,151.5,187.2,17719.4
8,0.005327131928239322,0.7637200048184395,0.026401786133646965,152.3,185.1,17719.4
9,0.004391199524267291,0.7650600077092647,0.023209452629089355,153.8,187.6,17719.4
10,0.0037980960962381593,0.7600200049126148,0.024530082941055298,153.2,187.3,17719.4
11,0.003678308388845501,0.7652399973106384,0.021768977865576744,151.9,185.7,17719.4
