split,activity,n,n_capped,frac_capped,n_zero_gap_used,frac_zero_gap_used,n_zero_gap_global,n_first_update,n_first_interaction,mean_dt,mean_dt_uncapped,mean_log10_gap_used_pos,hist_dt,hist_log10_gap_update,hist_log10_gap_interaction,reservoir_rows,rows_seen,run,group,clock,delta_scale,dt_time_weight,dt_time_log_scale
train_replay,closure,1061697,2976,0.0028030596300074,1160,0.0010925904471803,0,8611,36755,0.0043743038587313,0.0050402361836365,3.556264856818028,1048474 4865 1408 678 504 435 615 408 304 562 468 2976,8611 0 0 0 0 0 754595 248457 48447 1587 0 0 0 0,36755 0 0 0 0 0 14678 113646 587509 309109 0 0 0 0,200000,3319989,sw_f_s46,audit,global,3600.0,0.9072989821434021,0.09150614589452744
val,endpoint,279765,68288,0.2440905760191589,0,0.0,0,81054,81054,0.0809779094940999,0.1712027730991818,3.554597988795161,165756 17010 5169 2905 2698 2654 2681 2942 3238 3264 3160 68288,81054 0 0 0 0 0 34849 73851 73760 16251 0 0 0 0,81054 0 0 0 0 0 32191 75750 74127 16643 0 0 0 0,200000,3319989,sw_f_s46,audit,global,3600.0,0.9072989821434021,0.09150614589452744
val,closure,185742,318,0.0017120522014407,0,0.0,0,0,0,0.0037613993586561,0.0041109188037102,3.554186103455014,184490 439 111 48 51 52 35 59 54 65 20 318,0 0 0 0 0 0 135098 42651 7303 690 0 0 0 0,0 0 0 0 0 0 755 4633 27545 152809 0 0 0 0,200000,3319989,sw_f_s46,audit,global,3600.0,0.9072989821434021,0.09150614589452744
test,endpoint,270528,65175,0.2409177608232789,0,0.0,0,66451,66451,0.0801793096478321,0.1684962999703024,3.555593057025272,161022 16577 5057 2648 2530 2657 2637 2834 3127 3168 3096 65175,66451 0 0 0 0 0 34289 64880 84275 20633 0 0 0 0,66451 0 0 0 0 0 31555 66764 84687 21071 0 0 0 0,200000,3319989,sw_f_s46,audit,global,3600.0,0.9072989821434021,0.09150614589452744
test,closure,219058,287,0.0013101553013357,0,0.0,0,0,0,0.0036297520778637,0.0038954835026255,3.5550677450170727,217725 536 152 37 49 56 37 63 28 67 21 287,0 0 0 0 0 0 161911 45949 10528 670 0 0 0 0,0 0 0 0 0 0 902 5454 27331 185371 0 0 0 0,200000,3319989,sw_f_s46,audit,global,3600.0,0.9072989821434021,0.09150614589452744
train_replay,endpoint,23975,0,0.0,48,0.0020020855057351,0,873,3072,0.037196439929827,0.037196439929827,2.777560681107179,70 22790 724 184 198 9 0 0 0 0 0 0,873 0 0 0 0 10699 8847 3347 209 0 0 0 0 0,3072 0 0 0 0 6935 8509 4849 610 0 0 0 0 0,196392,196392,tsd_clockdiag,smoke,global,600.0,1.0031378269195557,-0.0029638211708515882
train_replay,closure,123689,0,0.0,156,0.0012612277567123,0,2199,37138,0.0345547537106298,0.0345547537106298,2.777618597624957,237 123373 79 0 0 0 0 0 0 0 0 0,2199 0 0 0 0 54608 53157 13409 316 0 0 0 0 0,37138 0 0 0 0 1830 18537 50523 15661 0 0 0 0 0,196392,196392,tsd_clockdiag,smoke,global,600.0,1.0031378269195557,-0.0029638211708515882
val,endpoint,4606,0,0.0,0,0.0,0,265,265,0.0368777414483774,0.0368777414483774,2.777967856024904,0 4456 73 23 54 0 0 0 0 0 0 0,265 0 0 0 0 2038 1585 656 62 0 0 0 0 0,265 0 0 0 0 1459 1614 976 292 0 0 0 0 0,196392,196392,tsd_clockdiag,smoke,global,600.0,1.0031378269195557,-0.0029638211708515882
val,closure,20426,0,0.0,0,0.0,0,0,0,0.0345546114592679,0.0345546114592679,2.7779960477160337,0 20419 7 0 0 0 0 0 0 0 0 0,0 0 0 0 0 8828 8882 2602 114 0 0 0 0 0,0 0 0 0 0 245 2549 9798 7834 0 0 0 0 0,196392,196392,tsd_clockdiag,smoke,global,600.0,1.0031378269195557,-0.0029638211708515882
test,endpoint,4427,50,0.0112943302462164,0,0.0,0,384,384,0.0392190853829291,0.064675772471321,2.807666765868882,0 4207 100 34 30 6 0 0 0 0 0 50,384 0 0 0 0 1777 1385 309 572 0 0 0 0 0,384 0 0 0 0 1277 1420 373 973 0 0 0 0 0,196392,196392,tsd_clockdiag,smoke,global,600.0,1.0031378269195557,-0.0029638211708515882
test,closure,19269,196,0.0101717785043333,0,0.0,0,0,0,0.0367353625173721,0.0591281168818213,2.8048684063714,0 19064 9 0 0 0 0 0 0 0 0 196,0 0 0 0 0 8148 7995 1313 1813 0 0 0 0 0,0 0 0 0 0 213 1982 2204 14870 0 0 0 0 0,196392,196392,tsd_clockdiag,smoke,global,600.0,1.0031378269195557,-0.0029638211708515882
