run,group,dataset,arm,lr,rec,clock,seed,is_audit,validation_mrr,test_mrr,test_hits10,best_track_epoch,train_epochs_run,params_total,params_active,query_audit_affected_total,query_audit_parity,retained_test_mrr,replay_minus_retained_test,reused_retained,finished
wiki_tsd_clock-node_interaction_s46,clock,tgbl-wiki,tsd,0.001,on,node_interaction,46,False,0.7787233572608606,0.7628837112717592,0.8542398721576469,8,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 23:19
wiki_tsd_clock-node_interaction_s47,clock,tgbl-wiki,tsd,0.001,on,node_interaction,47,False,0.7757171409940403,0.7633046155546981,0.8514880828187517,8,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 22:19
wiki_tsd_clock-node_update_s43,clock,tgbl-wiki,tsd,0.001,on,node_update,43,False,0.7771615109131876,0.7610744164911154,0.8505567082096168,8,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 19:33
wiki_tsd_clock-node_update_s44,clock,tgbl-wiki,tsd,0.001,on,node_update,44,False,0.7842906100103683,0.7698396603242846,0.8526734683748921,8,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 22:19
wiki_tsd_clock-node_update_s45,clock,tgbl-wiki,tsd,0.001,on,node_update,45,False,0.7786987234517483,0.7642556858791495,0.8546208886721511,8,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 22:40
wiki_tsd_clock-node_update_s46,clock,tgbl-wiki,tsd,0.001,on,node_update,46,False,0.7826146592860107,0.7665856791326867,0.85343550277157,8,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 22:24
wiki_tsd_clock-node_update_s47,clock,tgbl-wiki,tsd,0.001,on,node_update,47,False,0.7801406494555528,0.7650195353395837,0.8515304177160474,8,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 21:52
wiki_tsd_tw1200_s43,clock,tgbl-wiki,tsd,0.001,on,global,43,False,0.7430096968272251,0.732248589419818,0.8443334321079203,8,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 18:21
wiki_tsd_tw300_s43,clock,tgbl-wiki,tsd,0.001,on,global,43,False,0.8009682147616249,0.7835495942484959,0.8602091378302604,8,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 20:09
wiki_tsd_tw300_s44,clock,tgbl-wiki,tsd,0.001,on,global,44,False,0.8000400796123214,0.7823255368327464,0.8585580645973547,7,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 23:35
wiki_tsd_tw300_s45,clock,tgbl-wiki,tsd,0.001,on,global,45,False,0.7930691677664253,0.7793799097935249,0.8613521882367676,8,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 22:35
wiki_tsd_tw300_s46,clock,tgbl-wiki,tsd,0.001,on,global,46,False,0.8006066419504361,0.7824161533911501,0.8626645798007356,8,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 22:55
wiki_tsd_tw300_s47,clock,tgbl-wiki,tsd,0.001,on,global,47,False,0.7924455170642309,0.777313979600043,0.8586850701667459,7,8.0,444686.0,444686.0,0.0,True,,,False,2026-09-22 22:39
forum_attention_rec_s43,forum,thgl-forum,attention-gates,0.001,on,global,43,False,0.6035839981170282,0.6161491707263328,0.659204191644813,3,4.0,630400.0,630400.0,0.0,True,,,False,2026-09-22 15:30
forum_attention_recoff_s43,forum,thgl-forum,attention-gates,0.001,off,global,43,False,0.2813485193434783,0.2700119591312667,0.5395233472242583,1,4.0,630271.0,630271.0,0.0,True,,,False,2026-09-22 16:08
forum_attention_recoff_s44,forum,thgl-forum,attention-gates,0.001,off,global,44,False,0.3527013016054512,0.342533395904647,0.4362450554577665,4,4.0,630271.0,630271.0,0.0,True,,,False,2026-09-22 22:29
forum_attention_recoff_s45,forum,thgl-forum,attention-gates,0.001,off,global,45,False,0.3785354114032835,0.3682651567706189,0.5419548415982761,2,4.0,630271.0,630271.0,0.0,True,,,False,2026-09-22 21:17
forum_attention_recoff_s46,forum,thgl-forum,attention-gates,0.001,off,global,46,False,0.3512282297998535,0.3479494783481247,0.5725504142686334,2,4.0,630271.0,630271.0,0.0,True,,,False,2026-09-22 15:08
forum_attention_recoff_s47,forum,thgl-forum,attention-gates,0.001,off,global,47,False,0.3343708721033405,0.3196843079552501,0.4390859599649895,2,4.0,630271.0,630271.0,0.0,True,,,False,2026-09-22 16:20
forum_attention_recon_s44,forum,thgl-forum,attention-gates,0.001,on,global,44,False,0.6259422379133597,0.6378221562462703,0.6978165381599425,3,4.0,630400.0,630400.0,0.0,True,,,False,2026-09-22 21:29
forum_attention_recon_s45,forum,thgl-forum,attention-gates,0.001,on,global,45,False,0.62246109285751,0.6336671863745074,0.6916635845692556,3,4.0,630400.0,630400.0,0.0,True,,,False,2026-09-22 22:43
forum_attention_recon_s46,forum,thgl-forum,attention-gates,0.001,on,global,46,False,0.6266912959268713,0.6367697419815812,0.6896173670260929,2,4.0,630400.0,630400.0,0.0,True,,,False,2026-09-22 15:36
forum_attention_recon_s47,forum,thgl-forum,attention-gates,0.001,on,global,47,False,0.6218869889746617,0.6278993491881228,0.6670946916362136,3,4.0,630400.0,630400.0,0.0,True,,,False,2026-09-22 18:12
forum_coreoff_recoff_s44,forum,thgl-forum,core-off,0.001,off,global,44,False,0.2400763293194148,0.2220696006777333,0.3488434481470819,4,4.0,634300.0,8515.0,0.0,True,,,False,2026-09-22 15:30
forum_coreoff_recoff_s45,forum,thgl-forum,core-off,0.001,off,global,45,False,0.2373428730369663,0.2194822434365747,0.3329406652276485,4,4.0,634300.0,8515.0,0.0,True,,,False,2026-09-22 16:12
forum_coreoff_recon_s44,forum,thgl-forum,core-off,0.001,on,global,44,False,0.602931866585462,0.6160654511767497,0.6472414677460229,4,4.0,634429.0,8644.0,0.0,True,,,False,2026-09-22 15:48
forum_coreoff_recon_s45,forum,thgl-forum,core-off,0.001,on,global,45,False,0.6007772757036358,0.6144359337191159,0.6463735388898034,4,4.0,634429.0,8644.0,0.0,True,,,False,2026-09-22 16:38
forum_curonly_recoff_s44,forum,thgl-forum,current-only-maps,0.001,off,global,44,False,0.3956195496507332,0.388362845709613,0.5487902449751089,2,4.0,634302.0,634302.0,0.0,True,,,False,2026-09-22 17:18
forum_curonly_recoff_s45,forum,thgl-forum,current-only-maps,0.001,off,global,45,False,0.3928644593453611,0.387317283320688,0.5352866848003197,1,4.0,634302.0,634302.0,0.0,True,,,False,2026-09-22 16:51
forum_curonly_recon_s44,forum,thgl-forum,current-only-maps,0.001,on,global,44,False,0.6355830872012551,0.64495154461657,0.7029399324694747,2,4.0,634431.0,634431.0,0.0,True,,,False,2026-09-22 15:44
forum_curonly_recon_s45,forum,thgl-forum,current-only-maps,0.001,on,global,45,False,0.625594627385333,0.635400041869792,0.6789791262754215,2,4.0,634431.0,634431.0,0.0,True,,,False,2026-09-22 16:16
