split,activity,n_sample,dt_q,dt_uncapped_q,gap_used_q,gap_since_update_q,gap_since_interaction_q,preact_q,time_term_q
test,closure,25537,"[0.003002, 0.016549, 0.183469, 0.25, 0.25]","[0.003002, 0.016549, 0.183469, 0.290999, 0.663166]","[558.0, 587.0, 600.0, 615.0, 645.0]","[577.0, 606.0, 1246.0, 4839.0, 43829.0]","[4362.6, 46214.0, 220148.0, 1233914.0, 2160823.8]","[-6.737959, -5.025127, -2.533664, -2.014857, -0.987131]","[0.886424, 0.916836, 0.930182, 0.94537, 0.975087]"
test,endpoint,4113,"[0.002842, 0.011811, 0.02542, 0.085384, 0.25]","[0.002842, 0.011811, 0.02542, 0.085384, 0.451516]","[558.0, 588.0, 600.0, 614.0, 645.0]","[575.0, 604.0, 1234.0, 8397.0, 94463.8]","[615.0, 906.0, 3036.0, 31320.0, 275449.8]","[-6.809499, -5.368605, -4.583974, -3.353412, -1.486221]","[0.886424, 0.917869, 0.930182, 0.944364, 0.975087]"
train_replay,closure,128531,"[0.003645, 0.034985, 0.179518, 0.25, 0.25]","[0.003645, 0.034985, 0.179518, 0.284825, 0.656597]","[561.0, 589.0, 600.0, 612.0, 642.0]","[578.0, 605.0, 1223.0, 4788.0, 34805.3]","[3100.0, 26632.75, 94957.5, 325895.5, 1007701.35]","[-6.541934, -4.265995, -2.556325, -2.042072, -1.005127]","[0.889612, 0.918901, 0.930182, 0.94235, 0.972154]"
train_replay,endpoint,18402,"[0.002888, 0.012705, 0.026673, 0.079225, 0.25]","[0.002888, 0.012705, 0.026673, 0.079225, 0.416707]","[562.0, 590.0, 600.0, 611.0, 640.0]","[577.0, 601.25, 1196.0, 4791.0, 51593.3]","[615.0, 838.0, 2149.0, 18800.5, 164415.5]","[-6.77587, -5.290045, -4.542586, -3.425519, -1.591758]","[0.890672, 0.919931, 0.930182, 0.941342, 0.970194]"
val,closure,19584,"[0.002882, 0.013709, 0.165928, 0.25, 0.25]","[0.002882, 0.013709, 0.165928, 0.280596, 0.682451]","[564.0, 590.0, 600.0, 612.0, 642.0]","[581.0, 606.0, 1787.0, 5976.0, 45577.9]","[3906.4, 40210.25, 198236.0, 1018310.75, 1761141.4]","[-6.783481, -5.215447, -2.643807, -2.058017, -0.954209]","[0.89279, 0.919931, 0.930182, 0.94235, 0.972154]"
val,endpoint,3833,"[0.00315, 0.012655, 0.025711, 0.073671, 0.25]","[0.00315, 0.012655, 0.025711, 0.073671, 0.385031]","[567.0, 590.0, 600.0, 610.0, 634.0]","[580.0, 602.0, 1206.0, 6594.5, 81436.4]","[615.0, 832.0, 2291.0, 23790.5, 227320.3]","[-6.698182, -5.292858, -4.574078, -3.500293, -1.682269]","[0.895959, 0.919931, 0.930182, 0.940332, 0.96429]"
