study,parameter,value,value_label,experiment_name,best_epoch_mean,best_epoch_std,best_epoch_count,best_train_metric_mean,best_train_metric_std,best_train_metric_count,best_val_metric_mean,best_val_metric_std,best_val_metric_count,best_test_metric_mean,best_test_metric_std,best_test_metric_count,best_train_loss_mean,best_train_loss_std,best_train_loss_count,best_val_loss_mean,best_val_loss_std,best_val_loss_count,best_test_loss_mean,best_test_loss_std,best_test_loss_count,search_best_test_metric_mean,search_best_test_metric_std,search_best_test_metric_count,search_best_val_loss_mean,search_best_val_loss_std,search_best_val_loss_count
sensitivity,Closure Hops,1.0,1.0,closure_hops=1,136.4,17.854971296532515,5,,,0,0.9976877033236942,0.0006519821717665097,5,0.9976877033236942,0.0006519821717665097,5,,,0,1.8143206119537354,0.005406195448532812,5,1.8143205165863037,0.0054062853480378115,5,0.9976877033236942,0.0006519821717665097,5,1.8143205165863037,0.005406168773191303,5
sensitivity,Closure Hops,2.0,2.0,closure_hops=2,130.8,19.929877069364984,5,,,0,0.9976134004289076,0.0015450972206762386,5,0.9976134004289076,0.0015450972206762386,5,,,0,1.8156456232070923,0.007877104929730653,5,1.8156456470489502,0.00787708258492946,5,0.9976134004289076,0.0015450972206762386,5,1.8156456470489502,0.00787708258492946,5
sensitivity,Closure Hops,3.0,3.0,closure_hops=3,148.4,6.841052550594826,5,,,0,0.9978011476698188,0.0008624502797545166,5,0.9978011476698188,0.0008624502797545166,5,,,0,1.810853910446167,0.008341293194675616,5,1.810853910446167,0.008341293194675616,5,0.9978011476698188,0.0008624502797545166,5,1.8108538866043091,0.008341303725937468,5
sensitivity,Stalk Width,2.0,2.0,d=2,167.2,26.02306669091866,5,,,0,0.9973996424320163,0.0013875239239949438,5,0.9973996424320163,0.0013875239239949438,5,,,0,1.815549898147583,0.008320490436247552,5,1.8155499696731567,0.008320489710546004,5,0.9973996424320163,0.0013875239239949438,5,1.815549945831299,0.008320453005407031,5
sensitivity,Stalk Width,4.0,4.0,d=4,122.0,31.144823004794876,5,,,0,0.997727895662502,0.00044372473005670443,5,0.997727895662502,0.00044372473005670443,5,,,0,1.8178836345672607,0.003541222698452004,5,1.8178836584091183,0.003541209618321265,5,0.997727895662502,0.00044372473005670443,5,1.8178836107254028,0.0035412479586644377,5
sensitivity,Stalk Width,6.0,6.0,d=6,134.4,31.855925665407998,5,,,0,0.9973085972574122,0.0010926032284193775,5,0.9973085972574122,0.0010926032284193775,5,,,0,1.81668541431427,0.00943758015525723,5,1.816685390472412,0.009437533621933907,5,0.9973085972574122,0.0010926032284193775,5,1.8166854858398438,0.00943767112806062,5
sensitivity,Dropout,0.0,0.0,dropout=0.0,129.6,31.157663583779833,5,,,0,0.9975412913032491,0.000760302954749445,5,0.9975412913032491,0.000760302954749445,5,,,0,1.816533899307251,0.007267918117170527,5,1.816533899307251,0.007267918117170527,5,0.9975412913032491,0.000760302954749445,5,1.8165338516235352,0.007267856540668439,5
sensitivity,Dropout,0.05,0.05,dropout=0.05,127.2,17.75387281693772,5,,,0,0.9887635011887562,0.001787487935111955,5,0.9887635011887562,0.001787487935111955,5,,,0,1.8650777816772461,0.010516109025967928,5,1.8650776624679566,0.010516147831357079,5,0.9887635011887562,0.001787487935111955,5,1.8650776863098144,0.010516192931779193,5
sensitivity,Dropout,0.1,0.1,dropout=0.1,174.4,28.892905703649816,5,,,0,0.9883938054842094,0.0014049302653074906,5,0.9883938054842094,0.0014049302653074906,5,,,0,1.8651111602783204,0.008555999785429449,5,1.8651111602783204,0.008555999785429449,5,0.9883938054842094,0.0014049302653074906,5,1.8651111602783204,0.008555999785429449,5
sensitivity,Hidden Channels,32.0,32.0,hidden_channels=32,140.0,22.271057451320086,5,,,0,0.9964999210351104,0.0017297928404025344,5,0.9964999210351104,0.0017297928404025344,5,,,0,1.8240360260009765,0.010963969548949518,5,1.8240359783172608,0.010963998754216381,5,0.9964999210351104,0.0017297928404025344,5,1.8240360021591187,0.010963982268495995,5
sensitivity,Hidden Channels,64.0,64.0,hidden_channels=64,140.0,28.319604517012593,5,,,0,0.9981800937548975,0.00026065220922922623,5,0.9981800937548975,0.00026065220922922623,5,,,0,1.8116343021392822,0.001430658529094114,5,1.8116342782974244,0.0014307039335046759,5,0.9981800937548975,0.00026065220922922623,5,1.8116342782974244,0.0014307039335046759,5
sensitivity,Hidden Channels,96.0,96.0,hidden_channels=96,147.6,34.246167668806386,5,,,0,0.9964733516577976,0.002077435286523654,5,0.9964733516577976,0.002077435286523654,5,,,0,1.8217236280441285,0.012571578600430866,5,1.8217236042022704,0.01257158431056544,5,0.9964733516577976,0.002077435286523654,5,1.8217236042022704,0.01257158431056544,5
