epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.09729567302025251,0.7091954018361867,0.08867881447076797,882.8,620.6,916.9,1894.0,3104,0,0,170,0,0,0,0
2,0.09052195732916286,0.7168215088248253,0.09268087893724442,598.7,272.7,916.9,1896.0,3104,0,0,57,0,0,0,0
3,0.0890209310469312,0.7329940593466163,0.08859235793352127,357.6,210.7,940.6,1896.0,3104,0,0,57,0,0,0,0
4,0.08941327066875686,0.7401313426494598,0.09392229467630386,283.4,192.4,940.6,1896.0,3104,0,0,45,0,0,0,0
5,0.08920779577666044,0.7485899416059255,0.08865127712488174,223.1,103.8,940.6,1896.0,3104,0,0,57,0,0,0,0
6,0.0890152702774718,0.7591010781936347,0.09128376096487045,167.8,102.6,940.6,1896.0,3104,0,0,54,0,0,0,0
7,0.08960725148483913,0.7682542808391154,0.08860901743173599,173.0,104.7,940.6,1896.0,3104,0,0,54,0,0,0,0
8,0.08843471483615505,0.7727521768584847,0.08957017213106155,168.0,98.3,940.6,1896.0,3104,0,0,95,0,0,0,0
