batch,shift_sec,queries,neural_changed_frac,neural_mean_abs_delta,rec_changed_frac,pos_rec_mean,neg_rec_mean,pos_total_mean,mrr,rec_nonzero_frac,pos_rec_delta_vs_t0,mrr_delta_vs_t0
0,0.0,37,0.0,0.0,,9.317687034606934,0.026786772534251213,11.905167579650879,0.7553471922874451,0.9459459781646729,0.0,0.0
0,3600.0,37,0.0,0.0,,8.949832916259766,0.026500802487134933,11.537312507629395,0.6877796053886414,0.9459459781646729,-0.36785411834716797,-0.06756758689880371
0,86400.0,37,0.0,0.0,,8.323001861572266,0.025480398908257484,10.910480499267578,0.6881549954414368,0.9459459781646729,-0.994685173034668,-0.0671921968460083
0,2592000.0,37,0.0,0.0,,7.353565216064453,0.02277134358882904,9.941044807434082,0.6742660999298096,0.9459459781646729,-1.9641218185424805,-0.0810810923576355
1,0.0,36,0.0,0.0,,7.946218013763428,0.022155381739139557,11.184394836425781,0.6555286049842834,0.8611111044883728,0.0,0.0
1,3600.0,36,0.0,0.0,,7.814482688903809,0.022101836279034615,11.05265998840332,0.6416397094726562,0.8611111044883728,-0.13173532485961914,-0.013888895511627197
1,86400.0,36,0.0,0.0,,7.374305725097656,0.021641120314598083,10.612483024597168,0.627750813961029,0.8611111044883728,-0.5719122886657715,-0.027777791023254395
1,2592000.0,36,0.0,0.0,,6.552076816558838,0.019685419276356697,9.790252685546875,0.6263619065284729,0.8611111044883728,-1.3941411972045898,-0.029166698455810547
2,0.0,39,0.0,0.0,,8.047654151916504,0.00848994217813015,11.205909729003906,0.7656593322753906,0.8974359035491943,0.0,0.0
2,3600.0,39,0.0,0.0,,7.941965103149414,0.008455468341708183,11.100221633911133,0.7644383311271667,0.8974359035491943,-0.10568904876708984,-0.001221001148223877
2,86400.0,39,0.0,0.0,,7.567952632904053,0.008235819637775421,10.726208686828613,0.7571123242378235,0.8974359035491943,-0.47970151901245117,-0.008547008037567139
2,2592000.0,39,0.0,0.0,,6.783337593078613,0.007401495706290007,9.941594123840332,0.7526903748512268,0.8974359035491943,-1.2643165588378906,-0.012968957424163818
3,0.0,41,0.0,0.0,,8.720722198486328,0.005952896550297737,11.775983810424805,0.8946359753608704,0.9512194991111755,0.0,0.0
3,3600.0,41,0.0,0.0,,8.626852035522461,0.005948325153440237,11.682111740112305,0.894055187702179,0.9512194991111755,-0.09387016296386719,-0.0005807876586914062
3,86400.0,41,0.0,0.0,,8.244951248168945,0.005871399771422148,11.300210952758789,0.8926033973693848,0.9512194991111755,-0.4757709503173828,-0.0020325779914855957
3,2592000.0,41,0.0,0.0,,7.414191722869873,0.005350587423890829,10.469452857971191,0.890790581703186,0.9512194991111755,-1.306530475616455,-0.003845393657684326
4,0.0,22,0.0,0.0,,7.7968010902404785,0.01855001039803028,11.189043045043945,0.7538758516311646,0.9545454978942871,0.0,0.0
4,3600.0,22,0.0,0.0,,7.693014144897461,0.018535250797867775,11.08525562286377,0.7538758516311646,0.9545454978942871,-0.10378694534301758,0.0
4,86400.0,22,0.0,0.0,,7.190090179443359,0.018271200358867645,10.582331657409668,0.7526131868362427,0.9545454978942871,-0.6067109107971191,-0.001262664794921875
4,2592000.0,22,0.0,0.0,,6.255104064941406,0.016508031636476517,9.647346496582031,0.7516030669212341,0.9545454978942871,-1.5416970252990723,-0.00227278470993042
5,0.0,31,0.0,0.0,,8.354964256286621,0.024666685611009598,11.11126708984375,0.6549830436706543,0.8387096524238586,0.0,0.0
5,3600.0,31,0.0,0.0,,8.284531593322754,0.024593116715550423,11.0408353805542,0.6522948741912842,0.8387096524238586,-0.07043266296386719,-0.002688169479370117
5,86400.0,31,0.0,0.0,,7.884527206420898,0.023953229188919067,10.640830039978027,0.646918535232544,0.8387096524238586,-0.47043704986572266,-0.008064508438110352
5,2592000.0,31,0.0,0.0,,7.078454494476318,0.02146090567111969,9.834756851196289,0.646150529384613,0.8387096524238586,-1.2765097618103027,-0.00883251428604126
6,0.0,48,0.0,0.0,,5.141923904418945,0.014159874059259892,8.129075050354004,0.49731695652008057,0.5625,0.0,0.0
6,3600.0,48,0.0,0.0,,5.109663486480713,0.014125784859061241,8.096814155578613,0.49731695652008057,0.5625,-0.03226041793823242,0.0
6,86400.0,48,0.0,0.0,,4.902580261230469,0.013713458552956581,7.889731407165527,0.49731695652008057,0.5625,-0.23934364318847656,0.0
6,2592000.0,48,0.0,0.0,,4.409366607666016,0.012261967174708843,7.396517753601074,0.47301143407821655,0.5625,-0.7325572967529297,-0.024305522441864014
7,0.0,35,0.0,0.0,,8.115718841552734,0.014614714309573174,10.138692855834961,0.7208267450332642,0.8285714387893677,0.0,0.0
7,3600.0,35,0.0,0.0,,8.072399139404297,0.014586297795176506,10.095372200012207,0.7208267450332642,0.8285714387893677,-0.0433197021484375,0.0
7,86400.0,35,0.0,0.0,,7.7738823890686035,0.014214097522199154,9.796854972839355,0.7208267450332642,0.8285714387893677,-0.34183645248413086,0.0
7,2592000.0,35,0.0,0.0,,7.037328720092773,0.012709289789199829,9.060301780700684,0.7208267450332642,0.8285714387893677,-1.078390121459961,0.0
8,0.0,33,0.0,0.0,,8.811948776245117,0.013237354345619678,11.21593189239502,0.7630245685577393,0.8787878751754761,0.0,0.0
8,3600.0,33,0.0,0.0,,8.751748085021973,0.013225828297436237,11.155730247497559,0.7630245685577393,0.8787878751754761,-0.06020069122314453,0.0
8,86400.0,33,0.0,0.0,,8.371859550476074,0.01302453875541687,10.775842666625977,0.7630245685577393,0.8787878751754761,-0.44008922576904297,0.0
8,2592000.0,33,0.0,0.0,,7.532374858856201,0.011782080866396427,9.936357498168945,0.7529234886169434,0.8787878751754761,-1.279573917388916,-0.010101079940795898
9,0.0,27,0.0,0.0,,7.966092586517334,0.034031420946121216,11.249567985534668,0.5589937567710876,0.7777777910232544,0.0,0.0
9,3600.0,27,0.0,0.0,,7.937068462371826,0.033981095999479294,11.22054386138916,0.5589937567710876,0.7777777910232544,-0.029024124145507812,0.0
9,86400.0,27,0.0,0.0,,7.677716255187988,0.03325982764363289,10.961193084716797,0.5589937567710876,0.7777777910232544,-0.2883763313293457,0.0
