epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.0982923129389859,0.7144240490943193,0.08986800909042358,550.3,311.7,826.7,1894.0,3104,0,0,180,0,0,0,0
2,0.09006707050743618,0.7190676759630442,0.09339362382888794,419.5,219.4,826.7,1896.0,3104,0,0,44,0,0,0,0
3,0.08838695190657515,0.7308059310466051,0.09535763412714005,344.7,296.0,826.7,1896.0,3104,0,0,37,0,0,0,0
4,0.0869946143055227,0.7422753263786435,0.09057752043008804,298.7,160.5,826.7,1896.0,3104,0,0,40,0,0,0,0
5,0.08859456833575917,0.7455609986335039,0.09316623955965042,239.1,158.9,826.7,1898.0,3104,0,0,37,0,0,0,0
6,0.08875230507655286,0.7604772974886,0.08772272616624832,236.7,149.3,844.0,1898.0,3104,0,0,31,0,0,0,0
7,0.0896604889267391,0.7702036749310791,0.09222965687513351,238.5,155.4,929.1,1898.0,3104,0,0,42,0,0,0,0
