epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.16950699714225426,0.3875627388626337,0.39762771129608154,301.0,112.0,16388.7,18080.0,739,0,0,7,0,0,0,0
2,0.14896197844906653,0.3990198213219643,0.35717782378196716,256.2,110.2,19521.3,20100.0,739,0,0,0,0,0,0,0
3,0.14635984486672166,0.25769259764552116,0.437990665435791,268.7,134.9,19583.9,20400.0,739,0,0,3,0,0,0,0
