study,parameter,value,value_label,experiment_name,best_epoch_mean,best_epoch_std,best_epoch_count,best_train_metric_mean,best_train_metric_std,best_train_metric_count,best_val_metric_mean,best_val_metric_std,best_val_metric_count,best_test_metric_mean,best_test_metric_std,best_test_metric_count,best_train_loss_mean,best_train_loss_std,best_train_loss_count,best_val_loss_mean,best_val_loss_std,best_val_loss_count,best_test_loss_mean,best_test_loss_std,best_test_loss_count,search_best_test_metric_mean,search_best_test_metric_std,search_best_test_metric_count,search_best_val_loss_mean,search_best_val_loss_std,search_best_val_loss_count
sensitivity,closure_hops,1.0,1,closure_hops=1,136.4,17.854971296532515,5,,,0,0.9976877033236942,0.0006519821717665187,5,0.9976877033236942,0.0006519821717665187,5,,,0,1.8143206119537354,0.005406195448532566,5,1.8143205165863037,0.005406285348037736,5,0.9976877033236942,0.0006519821717665187,5,1.8143205165863037,0.005406168773191122,5
sensitivity,closure_hops,2.0,2,closure_hops=2,130.8,19.929877069364984,5,,,0,0.9976134004289076,0.0015450972206762737,5,0.9976134004289076,0.0015450972206762737,5,,,0,1.8156456232070923,0.007877104929730656,5,1.8156456470489502,0.007877082584929477,5,0.9976134004289076,0.0015450972206762737,5,1.8156456470489502,0.007877082584929477,5
sensitivity,closure_hops,3.0,3,closure_hops=3,148.4,6.841052550594826,5,,,0,0.9978011476698188,0.0008624502797544908,5,0.9978011476698188,0.0008624502797544908,5,,,0,1.810853910446167,0.008341293194675543,5,1.810853910446167,0.008341293194675543,5,0.9978011476698188,0.0008624502797544908,5,1.8108538866043091,0.008341303725937424,5
sensitivity,d,2.0,2,d=2,167.2,26.02306669091866,5,,,0,0.9973996424320163,0.0013875239239949306,5,0.9973996424320163,0.0013875239239949306,5,,,0,1.815549898147583,0.008320490436247545,5,1.8155499696731567,0.008320489710546032,5,0.9973996424320163,0.0013875239239949306,5,1.815549945831299,0.00832045300540708,5
sensitivity,d,4.0,4,d=4,122.0,31.144823004794876,5,,,0,0.997727895662502,0.0004437247300567298,5,0.997727895662502,0.0004437247300567298,5,,,0,1.8178836345672607,0.0035412226984522567,5,1.8178836584091187,0.0035412096183215056,5,0.997727895662502,0.0004437247300567298,5,1.8178836107254028,0.0035412479586646593,5
sensitivity,d,6.0,6,d=6,134.4,31.855925665407998,5,,,0,0.9973085972574122,0.0010926032284194378,5,0.9973085972574122,0.0010926032284194378,5,,,0,1.81668541431427,0.009437580155257115,5,1.816685390472412,0.009437533621933836,5,0.9973085972574122,0.0010926032284194378,5,1.8166854858398438,0.009437671128060465,5
sensitivity,dropout,0.0,0.0,dropout=0.0,129.6,31.157663583779833,5,,,0,0.9975412913032491,0.0007603029547494646,5,0.9975412913032491,0.0007603029547494646,5,,,0,1.816533899307251,0.007267918117170705,5,1.816533899307251,0.007267918117170705,5,0.9975412913032491,0.0007603029547494646,5,1.8165338516235352,0.007267856540668683,5
sensitivity,dropout,0.05,0.05,dropout=0.05,127.2,17.75387281693772,5,,,0,0.9887635011887562,0.001787487935111894,5,0.9887635011887562,0.001787487935111894,5,,,0,1.8650777816772461,0.010516109025967833,5,1.8650776624679566,0.010516147831357082,5,0.9887635011887562,0.001787487935111894,5,1.8650776863098144,0.010516192931779198,5
sensitivity,dropout,0.1,0.1,dropout=0.1,174.4,28.892905703649816,5,,,0,0.9883938054842094,0.0014049302653074915,5,0.9883938054842094,0.0014049302653074915,5,,,0,1.8651111602783204,0.008555999785429449,5,1.8651111602783204,0.008555999785429449,5,0.9883938054842094,0.0014049302653074915,5,1.8651111602783204,0.008555999785429449,5
sensitivity,hidden_channels,32.0,32,hidden_channels=32,140.0,22.271057451320086,5,,,0,0.9964999210351104,0.0017297928404025613,5,0.9964999210351104,0.0017297928404025613,5,,,0,1.8240360260009765,0.010963969548949432,5,1.8240359783172608,0.010963998754216385,5,0.9964999210351104,0.0017297928404025613,5,1.8240360021591187,0.010963982268495962,5
sensitivity,hidden_channels,64.0,64,hidden_channels=64,140.0,28.319604517012593,5,,,0,0.9981800937548975,0.0002606522092292856,5,0.9981800937548975,0.0002606522092292856,5,,,0,1.8116343021392822,0.0014306585290942222,5,1.8116342782974244,0.001430703933504784,5,0.9981800937548975,0.0002606522092292856,5,1.8116342782974244,0.001430703933504784,5
sensitivity,hidden_channels,96.0,96,hidden_channels=96,147.6,34.246167668806386,5,,,0,0.9964733516577976,0.002077435286523627,5,0.9964733516577976,0.002077435286523627,5,,,0,1.8217236280441285,0.012571578600430903,5,1.8217236042022704,0.01257158431056543,5,0.9964733516577976,0.002077435286523627,5,1.8217236042022704,0.01257158431056543,5
sensitivity,layers,2.0,2,layers=2,132.0,23.108440016582684,5,,,0,0.9972851850408604,0.0006685463981164681,5,0.9972851850408604,0.0006685463981164681,5,,,0,1.8184981107711793,0.007845790711624171,5,1.8184981107711793,0.007845790711624171,5,0.9972851850408604,0.0006685463981164681,5,1.8184980869293212,0.007845777154338145,5
sensitivity,layers,3.0,3,layers=3,107.6,15.517731793016656,5,,,0,0.9955683730754865,0.004554527676598879,5,0.9955683730754865,0.004554527676598879,5,,,0,1.829223084449768,0.02451566297123731,5,1.829223084449768,0.02451566297123731,5,0.9955683730754865,0.004554527676598879,5,1.8292231559753418,0.02451574568577392,5
sensitivity,layers,4.0,4,layers=4,145.2,36.676968249843114,5,,,0,0.9973203209354526,0.0014939774527973624,5,0.9973203209354526,0.0014939774527973624,5,,,0,1.816354751586914,0.005731646126147203,5,1.8163547277450562,0.005731736407497412,5,0.9973203209354526,0.0014939774527973624,5,1.816354751586914,0.005731646126147203,5
sensitivity,lr,0.006243970353451912,0.006243970353451912,lr=0.006243970353451912,158.0,24.535688292770594,5,,,0,0.9990227425464194,0.00037524303430700064,5,0.9990227425464194,0.00037524303430700064,5,,,0,1.8053796768188477,0.0037178735168655968,5,1.8053797006607055,0.0037179137731870857,5,0.9990227425464194,0.00037524303430700064,5,1.8053796768188477,0.0037178735168655968,5
