split,activity,n,n_capped,frac_capped,n_zero_gap_used,frac_zero_gap_used,n_zero_gap_global,n_first_update,n_first_interaction,mean_dt,mean_dt_uncapped,mean_log10_gap_used_pos,hist_dt,hist_log10_gap_update,hist_log10_gap_interaction,reservoir_rows,rows_seen
train_replay,endpoint,127665,127646,0.9998511729918145,19,0.00014882700818548544,0,3503,7475,0.24997265356107093,283.6958476570434,2.7780529539053527,4 6 3 2 1 0 1 0 1 0 1 127646,3503 0 0 0 0 56433 47495 17940 2289 5 0 0 0 0,7475 0 0 0 0 38799 44813 27729 8616 233 0 0 0 0,200000,1389498
train_replay,closure,894276,894215,0.9999317883964235,59,6.597515755762204e-05,0,3972,132309,0.249985784181581,189.24775021335063,2.7782598019140416,20 21 12 4 1 1 1 0 0 0 1 894215,3972 0 0 0 0 342639 419514 119751 8390 10 0 0 0 0,132309 0 0 0 0 8339 90887 289709 333588 39444 0 0 0 0,200000,1389498
val,endpoint,26656,26655,0.9999624849939976,0,0.0,0,836,836,0.24999864017456716,276.25181462144644,2.777995266193569,0 0 0 0 0 0 0 0 0 1 0 26655,836 0 0 0 0 11339 9328 4193 931 29 0 0 0 0,836 0 0 0 0 8281 9253 5860 2208 218 0 0 0 0,200000,1389498
val,closure,136421,136421,1.0,0,0.0,0,0,0,0.25,194.68770140631815,2.7782593051564626,0 0 0 0 0 0 0 0 0 0 0 136421,0 0 0 0 0 50194 62515 21611 2069 32 0 0 0 0,0 0 0 0 0 1192 12858 39601 47611 35159 0 0 0 0,200000,1389498
test,endpoint,28587,28587,1.0,0,0.0,0,916,916,0.25,281.57885631065295,2.7779580970034914,0 0 0 0 0 0 0 0 0 0 0 28587,916 0 0 0 0 11016 10329 5024 1198 104 0 0 0 0,916 0 0 0 0 7809 9930 6874 2714 344 0 0 0 0,200000,1389498
test,closure,175893,175893,1.0,0,0.0,0,0,0,0.25,191.49289004069786,2.7782368637492154,0 0 0 0 0 0 0 0 0 0 0 175893,0 0 0 0 0 66768 80898 25480 2710 37 0 0 0 0,0 0 0 0 0 1357 15391 49774 60403 48968 0 0 0 0,200000,1389498
