epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.07495587576688423,0.14471935311531028,0.9080316424369812,65.9,347.2,5779.8,15008.0,1262,0,0,9,0,0,0,0
2,0.06047924130375714,0.2096604435041547,0.3796405494213104,116.4,274.3,5806.7,15008.0,1262,0,0,1,0,0,0,0
3,0.06096090434677013,0.23456830542186896,0.7407957911491394,37.1,372.4,5806.7,15008.0,1262,0,0,8,0,0,0,0
