seed,val_ndcg,test_ndcg,best_epoch,n_params,minutes
44,0.7820963999062646,0.8234309242582075,20,736791,4.112394312086205
45,0.7780362199212282,0.8038341600190972,16,736791,3.7585501027603945
46,0.45236584464790036,0.45402466929868135,2,736791,2.8723692831272882
47,0.7856428785776927,0.838175562484579,22,736791,4.313070627674461
