2026-09-21 08:37:03,0,0,54102
2026-09-21 08:37:03,1,0,58586
2026-09-21 08:37:03,2,0,59256
2026-09-21 08:37:03,3,0,57214
2026-09-21 08:37:03,4,0,57810
2026-09-21 08:37:03,5,0,55780
2026-09-21 08:37:03,6,0,59098
2026-09-21 08:37:03,7,0,29018
2026-09-21 08:37:28,0,0,54102
2026-09-21 08:37:28,1,0,58586
2026-09-21 08:37:28,2,0,59256
2026-09-21 08:37:28,3,0,57214
2026-09-21 08:37:28,4,0,57810
2026-09-21 08:37:28,5,0,55780
2026-09-21 08:37:28,6,0,59098
2026-09-21 08:37:28,7,0,29018
2026-09-21 08:38:21,0,0,54102
2026-09-21 08:38:21,1,0,58586
2026-09-21 08:38:21,2,0,59256
2026-09-21 08:38:21,3,0,57214
2026-09-21 08:38:21,4,0,57810
2026-09-21 08:38:21,5,0,55780
2026-09-21 08:38:21,6,0,59098
2026-09-21 08:38:21,7,0,29018
2026-09-21 08:48:26,0,25546,54102
2026-09-21 08:48:26,1,0,58586
2026-09-21 08:48:26,2,0,59256
2026-09-21 08:48:26,3,15532,57214
2026-09-21 08:48:26,4,0,57810
2026-09-21 08:48:26,5,21546,55780
2026-09-21 08:48:26,6,0,59098
2026-09-21 08:48:26,7,51084,29018
2026-09-21 08:58:32,0,25548,54102
2026-09-21 08:58:32,1,0,58586
2026-09-21 08:58:32,2,0,59256
2026-09-21 08:58:32,3,15532,57214
2026-09-21 08:58:32,4,0,57810
2026-09-21 08:58:32,5,21546,55780
2026-09-21 08:58:32,6,0,59098
2026-09-21 08:58:32,7,51088,29018
2026-09-21 09:08:38,0,25548,54102
2026-09-21 09:08:38,1,0,58586
2026-09-21 09:08:38,2,0,59396
2026-09-21 09:08:38,3,15532,57214
2026-09-21 09:08:38,4,0,57810
2026-09-21 09:08:38,5,21546,55780
2026-09-21 09:08:38,6,0,59098
2026-09-21 09:08:38,7,51088,29018
2026-09-21 09:18:44,0,25548,54102
2026-09-21 09:18:44,1,0,58586
2026-09-21 09:18:44,2,0,59396
2026-09-21 09:18:44,3,15532,57214
2026-09-21 09:18:44,4,0,57810
2026-09-21 09:18:44,5,21546,55780
2026-09-21 09:18:44,6,0,59098
2026-09-21 09:18:44,7,51088,29018
2026-09-21 09:28:50,0,25548,54102
2026-09-21 09:28:50,1,0,58586
2026-09-21 09:28:50,2,0,59396
2026-09-21 09:28:50,3,15532,57214
2026-09-21 09:28:50,4,0,57810
2026-09-21 09:28:50,5,21546,55780
2026-09-21 09:28:50,6,0,59098
2026-09-21 09:28:50,7,51090,29018
2026-09-21 09:38:55,0,25548,54102
2026-09-21 09:38:55,1,0,58586
2026-09-21 09:38:55,2,0,59396
2026-09-21 09:38:55,3,15532,57214
2026-09-21 09:38:55,4,0,57810
2026-09-21 09:38:55,5,21546,55780
2026-09-21 09:38:55,6,0,59098
2026-09-21 09:38:55,7,51090,29018
2026-09-21 09:49:01,0,25548,54102
2026-09-21 09:49:01,1,0,58586
2026-09-21 09:49:01,2,0,59456
2026-09-21 09:49:01,3,15532,57214
2026-09-21 09:49:01,4,0,57810
2026-09-21 09:49:01,5,21546,55780
2026-09-21 09:49:01,6,0,59098
2026-09-21 09:49:01,7,51090,29018
2026-09-21 09:59:07,0,25548,54102
2026-09-21 09:59:07,1,0,58586
2026-09-21 09:59:07,2,0,59456
2026-09-21 09:59:07,3,15532,57214
2026-09-21 09:59:07,4,0,57810
2026-09-21 09:59:07,5,21546,55780
2026-09-21 09:59:07,6,0,59098
2026-09-21 09:59:07,7,51090,29018
2026-09-21 10:09:13,0,25548,54102
2026-09-21 10:09:13,1,0,58586
2026-09-21 10:09:13,2,0,59456
2026-09-21 10:09:13,3,15532,57214
2026-09-21 10:09:13,4,0,57810
2026-09-21 10:09:13,5,21546,55780
2026-09-21 10:09:13,6,0,59098
2026-09-21 10:09:13,7,51090,29018
2026-09-21 10:19:18,0,25548,54102
2026-09-21 10:19:18,1,0,58586
2026-09-21 10:19:18,2,0,59456
2026-09-21 10:19:18,3,15532,57214
2026-09-21 10:19:18,4,0,57810
2026-09-21 10:19:18,5,21546,55780
2026-09-21 10:19:18,6,0,59098
2026-09-21 10:19:18,7,51090,29018
2026-09-21 10:29:24,0,25548,54102
2026-09-21 10:29:24,1,0,58586
2026-09-21 10:29:24,2,0,59456
2026-09-21 10:29:24,3,15532,57214
2026-09-21 10:29:24,4,0,57810
2026-09-21 10:29:24,5,21546,55780
2026-09-21 10:29:24,6,0,59098
2026-09-21 10:29:24,7,51090,29018
2026-09-21 10:39:30,0,25548,54102
2026-09-21 10:39:30,1,0,58586
2026-09-21 10:39:30,2,0,59456
2026-09-21 10:39:30,3,15532,57214
2026-09-21 10:39:30,4,0,57810
2026-09-21 10:39:30,5,21546,55780
2026-09-21 10:39:30,6,0,59098
2026-09-21 10:39:30,7,51090,29018
2026-09-21 10:49:36,0,25548,54102
2026-09-21 10:49:36,1,0,58586
2026-09-21 10:49:36,2,0,59456
2026-09-21 10:49:36,3,15532,57214
2026-09-21 10:49:36,4,0,57810
2026-09-21 10:49:36,5,21546,55780
2026-09-21 10:49:36,6,0,59098
2026-09-21 10:49:36,7,51090,29018
2026-09-21 10:59:41,0,25548,54102
2026-09-21 10:59:41,1,0,58586
2026-09-21 10:59:41,2,0,59456
2026-09-21 10:59:41,3,15532,57214
2026-09-21 10:59:41,4,0,57810
2026-09-21 10:59:41,5,21546,55780
2026-09-21 10:59:41,6,0,59098
2026-09-21 10:59:41,7,51090,29018
2026-09-21 11:09:47,0,25548,54102
2026-09-21 11:09:47,1,0,58586
2026-09-21 11:09:47,2,0,59456
2026-09-21 11:09:47,3,15532,57214
2026-09-21 11:09:47,4,0,57810
2026-09-21 11:09:47,5,21546,55780
2026-09-21 11:09:47,6,0,59098
2026-09-21 11:09:47,7,51090,29018
2026-09-21 11:19:52,0,25548,54102
2026-09-21 11:19:52,1,0,58586
2026-09-21 11:19:52,2,0,59456
2026-09-21 11:19:52,3,15532,57214
2026-09-21 11:19:52,4,0,57810
2026-09-21 11:19:52,5,21546,55780
2026-09-21 11:19:52,6,0,59098
2026-09-21 11:19:52,7,51090,29018
2026-09-21 11:29:58,0,25548,54102
2026-09-21 11:29:58,1,0,58586
2026-09-21 11:29:58,2,0,59456
2026-09-21 11:29:58,3,15532,57214
2026-09-21 11:29:58,4,0,57810
2026-09-21 11:29:58,5,21546,55780
2026-09-21 11:29:58,6,0,59098
2026-09-21 11:29:58,7,51090,29018
2026-09-21 11:40:04,0,25548,54102
2026-09-21 11:40:04,1,0,58586
2026-09-21 11:40:04,2,0,59456
2026-09-21 11:40:04,3,15532,57214
2026-09-21 11:40:04,4,0,57810
2026-09-21 11:40:04,5,21546,55780
2026-09-21 11:40:04,6,0,59098
2026-09-21 11:40:04,7,51090,29018
2026-09-21 11:50:10,0,25548,54102
2026-09-21 11:50:10,1,0,58586
2026-09-21 11:50:10,2,0,59456
2026-09-21 11:50:10,3,15532,57214
2026-09-21 11:50:10,4,0,57810
2026-09-21 11:50:10,5,21546,55780
2026-09-21 11:50:10,6,0,59098
2026-09-21 11:50:10,7,51090,29018
2026-09-21 12:00:16,0,25548,54102
2026-09-21 12:00:16,1,0,58586
2026-09-21 12:00:16,2,0,59456
2026-09-21 12:00:16,3,15532,57214
2026-09-21 12:00:16,4,0,57810
2026-09-21 12:00:16,5,21546,55780
2026-09-21 12:00:16,6,0,59098
2026-09-21 12:00:16,7,51090,29018
2026-09-21 12:10:22,0,25548,26060
2026-09-21 12:10:22,1,0,58586
2026-09-21 12:10:22,2,0,59456
2026-09-21 12:10:22,3,15532,57214
2026-09-21 12:10:22,4,0,57810
2026-09-21 12:10:22,5,21546,55780
2026-09-21 12:10:22,6,0,59098
2026-09-21 12:10:22,7,51090,29018
2026-09-21 12:20:27,0,25548,26060
2026-09-21 12:20:27,1,0,58586
2026-09-21 12:20:27,2,0,59456
2026-09-21 12:20:27,3,15532,57214
2026-09-21 12:20:27,4,0,57810
2026-09-21 12:20:27,5,21546,55780
2026-09-21 12:20:27,6,0,59098
2026-09-21 12:20:27,7,51090,29018
2026-09-21 12:30:33,0,25548,26060
2026-09-21 12:30:33,1,0,58586
2026-09-21 12:30:33,2,0,59456
2026-09-21 12:30:33,3,15532,57214
2026-09-21 12:30:33,4,0,57810
2026-09-21 12:30:33,5,21548,55780
2026-09-21 12:30:33,6,0,59098
2026-09-21 12:30:33,7,51090,29018
2026-09-21 12:40:39,0,25548,26060
2026-09-21 12:40:39,1,0,58586
2026-09-21 12:40:39,2,0,59456
2026-09-21 12:40:39,3,15532,57214
2026-09-21 12:40:39,4,0,57810
2026-09-21 12:40:39,5,21548,55780
2026-09-21 12:40:39,6,0,59098
2026-09-21 12:40:39,7,51090,29018
2026-09-21 12:50:44,0,25548,26060
2026-09-21 12:50:44,1,0,58586
2026-09-21 12:50:44,2,0,59456
2026-09-21 12:50:44,3,15532,57214
2026-09-21 12:50:44,4,0,57810
2026-09-21 12:50:44,5,21548,55780
2026-09-21 12:50:44,6,0,59098
2026-09-21 12:50:44,7,51090,29018
2026-09-21 13:00:50,0,25548,26060
2026-09-21 13:00:50,1,0,58586
2026-09-21 13:00:50,2,0,59456
2026-09-21 13:00:50,3,15532,57214
2026-09-21 13:00:50,4,0,57810
2026-09-21 13:00:50,5,21548,55780
2026-09-21 13:00:50,6,0,59098
2026-09-21 13:00:50,7,51090,29018
2026-09-21 13:10:55,0,25548,26060
2026-09-21 13:10:55,1,0,58586
2026-09-21 13:10:55,2,0,59456
2026-09-21 13:10:55,3,15532,57214
2026-09-21 13:10:55,4,0,57810
2026-09-21 13:10:55,5,21548,55780
2026-09-21 13:10:55,6,0,59098
2026-09-21 13:10:55,7,51090,29018
2026-09-21 13:21:01,0,25548,26060
2026-09-21 13:21:01,1,0,58586
2026-09-21 13:21:01,2,0,59456
2026-09-21 13:21:01,3,15532,57214
2026-09-21 13:21:01,4,0,57810
2026-09-21 13:21:01,5,21548,55780
2026-09-21 13:21:01,6,0,59098
2026-09-21 13:21:01,7,51090,29018
2026-09-21 13:31:06,0,25548,26060
2026-09-21 13:31:06,1,0,58586
2026-09-21 13:31:06,2,0,59456
2026-09-21 13:31:06,3,15532,57214
2026-09-21 13:31:06,4,0,57810
2026-09-21 13:31:06,5,21548,55780
2026-09-21 13:31:06,6,0,59098
2026-09-21 13:31:06,7,51090,29018
2026-09-21 13:41:12,0,25548,26060
2026-09-21 13:41:12,1,0,58586
2026-09-21 13:41:12,2,0,59458
2026-09-21 13:41:12,3,15532,57214
2026-09-21 13:41:12,4,0,57810
2026-09-21 13:41:12,5,21548,55780
2026-09-21 13:41:12,6,0,59098
2026-09-21 13:41:12,7,51090,29018
2026-09-21 13:51:17,0,25548,26060
2026-09-21 13:51:17,1,0,58586
2026-09-21 13:51:17,2,0,59458
2026-09-21 13:51:17,3,15532,57214
2026-09-21 13:51:17,4,0,57810
2026-09-21 13:51:17,5,21548,55780
2026-09-21 13:51:17,6,0,59098
2026-09-21 13:51:17,7,51090,29018
2026-09-21 14:01:23,0,25548,26060
2026-09-21 14:01:23,1,0,58586
2026-09-21 14:01:23,2,0,59458
2026-09-21 14:01:23,3,15532,57534
2026-09-21 14:01:23,4,0,57810
2026-09-21 14:01:23,5,21548,55780
2026-09-21 14:01:23,6,0,59098
2026-09-21 14:01:23,7,51090,29018
2026-09-21 14:11:29,0,25548,26060
2026-09-21 14:11:29,1,0,58586
2026-09-21 14:11:29,2,0,59458
2026-09-21 14:11:29,3,15532,57534
2026-09-21 14:11:29,4,0,57810
2026-09-21 14:11:29,5,21548,55780
2026-09-21 14:11:29,6,0,59098
2026-09-21 14:11:29,7,51090,29018
2026-09-21 14:21:34,0,25548,26060
2026-09-21 14:21:34,1,0,58586
2026-09-21 14:21:34,2,0,59458
2026-09-21 14:21:34,3,15532,57534
2026-09-21 14:21:34,4,0,57810
2026-09-21 14:21:34,5,21548,55780
2026-09-21 14:21:34,6,0,59098
2026-09-21 14:21:34,7,51090,29018
2026-09-21 14:31:40,0,25548,26060
2026-09-21 14:31:40,1,0,58586
