split,activity,n_sample,dt_q,dt_uncapped_q,gap_used_q,gap_since_update_q,gap_since_interaction_q,preact_q,time_term_q
test,closure,25100,"[0.25, 0.25, 0.25, 0.25, 0.25]","[313.79875, 361.498131, 406.792374, 472.141914, 734.578821]","[258.95, 288.0, 301.0, 312.0, 349.0]","[275.0, 311.0, 908.0, 3903.0, 37762.0]","[3721.9, 42883.25, 206389.5, 1171037.25, 2140016.95]","[312.802261, 360.44088, 405.732269, 471.076187, 733.498727]","[0.964668, 1.035058, 1.065185, 1.090061, 1.16991]"
test,endpoint,3993,"[0.25, 0.25, 0.25, 0.25, 0.25]","[319.696765, 485.600525, 630.17926, 775.771729, 1475.241577]","[259.0, 289.0, 301.0, 312.0, 349.0]","[279.0, 310.0, 907.0, 5423.0, 88017.6]","[309.7, 506.0, 1645.0, 19118.0, 270226.2]","[318.62713, 484.57489, 629.096619, 774.729675, 1474.211255]","[0.964793, 1.037405, 1.065185, 1.090061, 1.16991]"
train_replay,closure,128957,"[0.25, 0.25, 0.25, 0.25, 0.25]","[309.121698, 361.405396, 402.63681, 466.930939, 739.244666]","[264.0, 290.0, 300.0, 311.0, 340.2]","[281.0, 309.0, 906.0, 3593.0, 28860.8]","[2422.85, 24741.75, 89897.5, 312473.5, 1003518.0]","[308.05722, 360.338776, 401.580139, 465.863586, 738.170203]","[0.977225, 1.039746, 1.062896, 1.087822, 1.151427]"
train_replay,endpoint,18422,"[0.25, 0.25, 0.25, 0.25, 0.25]","[327.947514, 473.796181, 627.133362, 801.359314, 1541.332825]","[264.0, 290.0, 300.0, 311.0, 340.0]","[279.0, 304.0, 614.0, 3033.5, 42104.85]","[307.0, 442.0, 1130.0, 10504.25, 127944.75]","[326.987898, 472.742073, 626.027771, 800.287231, 1540.270074]","[0.977225, 1.039746, 1.062896, 1.087822, 1.151003]"
val,closure,19770,"[0.25, 0.25, 0.25, 0.25, 0.25]","[310.18174, 367.225105, 419.685623, 484.598824, 744.683041]","[265.0, 288.0, 300.0, 311.0, 337.0]","[281.0, 314.0, 1166.0, 4220.5, 39332.35]","[3221.15, 36117.25, 187084.0, 979437.75, 1754510.75]","[309.104692, 366.163399, 418.620331, 483.572289, 743.569034]","[0.979695, 1.035058, 1.062896, 1.087822, 1.14463]"
val,endpoint,3758,"[0.25, 0.25, 0.25, 0.25, 0.25]","[329.925209, 508.363472, 637.298401, 776.43158, 1407.809509]","[266.0, 289.0, 300.0, 311.0, 334.0]","[279.0, 305.0, 617.0, 3578.0, 61547.4]","[310.0, 449.0, 1085.0, 9227.5, 154348.3]","[328.863892, 507.235138, 636.230988, 775.3582, 1406.716278]","[0.98216, 1.037405, 1.062896, 1.087822, 1.138219]"
