split,activity,n,n_capped,frac_capped,n_zero_gap_used,frac_zero_gap_used,n_zero_gap_global,n_first_update,n_first_interaction,mean_dt,mean_dt_uncapped,mean_log10_gap_used_pos,hist_dt,hist_log10_gap_update,hist_log10_gap_interaction,reservoir_rows,rows_seen
train_replay,endpoint,153266,150032,0.9788994297495857,12,7.829525139300301e-05,0,3498,7475,0.24597757283744046,729.9879594245281,2.476922419650405,913 789 503 328 208 159 109 91 55 44 35 150032,3498 0 0 0 0 88812 41092 17583 2276 5 0 0 0 0,7475 0 0 0 0 70264 39147 27541 8606 233 0 0 0 0,200000,1671914
train_replay,closure,1078849,1075131,0.996553734581948,25,2.3172844392496077e-05,0,3977,157828,0.24934511009389554,461.14065619509705,2.477303509488564,1056 938 558 358 242 157 131 103 69 55 51 1075131,3977 0 0 0 0 563583 384495 118390 8394 10 0 0 0 0,157828 0 0 0 0 19398 112814 349887 393234 45688 0 0 0 0,200000,1671914
val,endpoint,32165,31374,0.9754080522306855,0,0.0,0,836,836,0.24530043866430234,710.6451154502271,2.47630926822225,230 205 116 72 50 35 19 23 20 8 13 31374,836 0 0 0 0 18042 8196 4131 931 29 0 0 0 0,836 0 0 0 0 15054 8042 5808 2207 218 0 0 0 0,200000,1671914
val,closure,162673,162673,1.0,0,0.0,0,0,0,0.25,470.59758353050574,2.476294662569631,0 0 0 0 0 0 0 0 0 0 0 162673,0 0 0 0 0 81171 57983 21418 2069 32 0 0 0 0,0 0 0 0 0 2741 15742 47594 56013 40583 0 0 0 0,200000,1671914
test,endpoint,33703,32824,0.9739192356763493,0,0.0,0,916,916,0.2450721727768311,729.4689210495504,2.476843830837715,242 215 137 86 62 41 29 27 9 16 15 32824,916 0 0 0 0 17488 9053 4944 1198 104 0 0 0 0,916 0 0 0 0 14184 8722 6825 2712 344 0 0 0 0,200000,1671914
test,closure,211258,211258,1.0,0,0.0,0,0,0,0.25,461.2377932304328,2.476704128028459,0 0 0 0 0 0 0 0 0 0 0 211258,0 0 0 0 0 109251 73989 25281 2700 37 0 0 0 0,0 0 0 0 0 3194 18724 59369 72242 57729 0 0 0 0,200000,1671914
