split,activity,n_sample,dt_q,dt_uncapped_q,gap_used_q,gap_since_update_q,gap_since_interaction_q,preact_q,time_term_q
test,closure,7255,"[0.008416, 0.010201, 0.011743, 0.013522, 0.016654]","[0.008416, 0.010201, 0.011743, 0.013522, 0.016654]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 19.0, 34.0, 43.0, 50.0]","[-5.710853, -5.517612, -5.376003, -5.234117, -5.024198]","[0.93742, 0.93742, 0.93742, 0.93742, 0.93742]"
test,endpoint,49691,"[0.006843, 0.009237, 0.010864, 0.012639, 0.015712]","[0.006843, 0.009237, 0.010864, 0.012639, 0.015712]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 4.0]","[1.0, 1.0, 1.0, 1.0, 4.0]","[-5.918598, -5.617315, -5.454239, -5.302079, -5.082874]","[0.93742, 0.93742, 0.93742, 0.93742, 0.93742]"
train_replay,closure,12906,"[0.008195, 0.010316, 0.01191, 0.013623, 0.016553]","[0.008195, 0.010316, 0.01191, 0.013623, 0.016553]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 4.0, 10.0, 16.0, 25.0]","[-5.728441, -5.504673, -5.360952, -5.226023, -5.03015]","[0.93742, 0.93742, 0.93742, 0.93742, 0.93742]"
train_replay,endpoint,73549,"[0.001812, 0.008773, 0.010729, 0.012623, 0.015727]","[0.001812, 0.008773, 0.010729, 0.012623, 0.015727]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[-7.249826, -5.653755, -5.461705, -5.300597, -5.080999]","[0.93742, 0.93742, 0.93742, 0.93742, 0.93742]"
val,closure,6879,"[0.008421, 0.010369, 0.011846, 0.013598, 0.016592]","[0.008421, 0.010369, 0.011846, 0.013598, 0.016592]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 15.0, 26.0, 32.0, 38.0]","[-5.710213, -5.501125, -5.367243, -5.228477, -5.027948]","[0.93742, 0.93742, 0.93742, 0.93742, 0.93742]"
val,endpoint,49720,"[0.005037, 0.008907, 0.010685, 0.012562, 0.015692]","[0.005037, 0.008907, 0.010685, 0.012562, 0.015692]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 2.0]","[1.0, 1.0, 1.0, 1.0, 2.0]","[-6.225883, -5.653876, -5.471022, -5.308219, -5.084168]","[0.93742, 0.93742, 0.93742, 0.93742, 0.93742]"
