epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.10627345341382567,0.5325627755320073,0.10478176921606064,9.9,128.7,9237.6,25036.0,97,0,0,3,0,0,0,0
2,0.05204928981274674,0.556003538428545,0.08720854669809341,8.4,100.4,9252.1,25038.0,97,0,0,0,0,0,0,0
3,0.04696892769335164,0.5839854880511761,0.07162176817655563,8.9,88.5,9252.1,25038.0,97,0,0,0,0,0,0,0
4,0.045140408478754085,0.5943516926455498,0.06575070321559906,8.9,87.0,9252.1,25038.0,97,0,0,0,0,0,0,0
5,0.04392517438715266,0.6218914609241486,0.05744843930006027,8.1,84.2,9252.1,25038.0,97,0,0,0,0,0,0,0
6,0.04191667703700434,0.6261145619094372,0.06165482848882675,8.6,87.9,9252.1,25038.0,97,0,0,0,0,0,0,0
7,0.04327288165342869,0.6330449710357189,0.09376096725463867,8.1,84.7,9252.1,25038.0,97,0,0,0,0,0,0,0
8,0.04441693322445007,0.6511350806987286,0.05781594291329384,8.5,94.8,9252.1,25038.0,97,0,0,0,0,0,0,0
9,0.04633001927478412,0.6667114964926243,0.06072240322828293,9.0,96.9,9252.1,25038.0,97,0,0,0,0,0,0,0
10,0.04512494330092804,0.677283747766018,0.060122787952423096,8.4,89.6,9252.1,25038.0,97,0,0,0,0,0,0,0
11,0.04402037262532514,0.6923779461276531,0.058272454887628555,8.3,87.8,9252.1,25038.0,97,0,0,0,0,0,0,0
12,0.04324359542776629,0.7048151540696621,0.056594014167785645,8.6,86.8,9252.1,25038.0,97,0,0,0,0,0,0,0
13,0.04240938001456335,0.7134761425447465,0.05504244938492775,8.7,88.4,9252.1,25038.0,97,0,0,0,0,0,0,0
14,0.042579663725397024,0.7200877421319485,0.05672875791788101,8.7,90.8,9252.1,25038.0,97,0,0,0,0,0,0,0
15,0.04105277967245616,0.7241184776258469,0.05601577088236809,9.0,98.2,9252.1,25038.0,97,0,0,0,0,0,0,0
