epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.04430687812991379,0.8883749970942736,0.045663949102163315,1999.1,2143.1,2525.6
2,0.028390729475255862,0.9026250000745059,0.04043963551521301,2048.3,2152.4,2530.9
3,0.02578006016845044,0.8977499992623925,0.045315563678741455,2052.5,2153.6,2530.9
4,0.02911016388688232,0.8805000001192093,0.06083621457219124,2051.9,2117.0,2530.9
5,0.03400308892030305,0.8855000000745058,0.04707258567214012,2051.2,2145.8,2531.9
6,0.027923084483399106,0.8739999980926514,0.0660986378788948,2054.1,2146.8,2531.9
7,0.026654486352836484,0.8659999985098839,0.07148074358701706,2078.5,2115.7,2531.9
