epoch,train_loss,evaluated,train_mrr,val_mrr,test_mrr,train_eval_loss,val_eval_loss,test_eval_loss,train_state_memory_norm,val_state_memory_norm,test_state_memory_norm
0,4.984180922250072,False,,,,,,,,,
1,4.705698221103993,True,,0.01953125,0.001953125,,7.920943737030029,8.010354995727539,172.99298095703125,189.4940185546875,200.79420471191406
2,4.544912044226588,False,,,,,,,,,
3,4.340639872292424,True,,0.041015625,0.005859375,,8.009023666381836,7.986447811126709,225.64193725585938,246.15550231933594,260.4604187011719
4,4.312780092648805,False,,,,,,,,,
5,4.51955256361269,True,,0.015625,0.029296875,,8.176084518432617,8.215453147888184,225.89842224121094,246.45787048339844,261.0451965332031
6,4.5513472745804755,False,,,,,,,,,
7,4.476960788051525,True,,0.013671875,0.01171875,,7.850707530975342,8.011809349060059,242.70968627929688,264.7629089355469,280.4126281738281
8,4.77973024108765,False,,,,,,,,,
9,4.547739024649554,True,,0.021484375,0.0234375,,8.357405662536621,8.39318561553955,256.60516357421875,278.92523193359375,293.7779846191406
10,4.372775180618504,False,,,,,,,,,
11,4.494471299660925,True,,0.025390625,0.009765625,,7.789017200469971,7.8544487953186035,298.3447570800781,325.5997314453125,345.1051330566406
12,4.794983899492228,False,,,,,,,,,
13,4.711885045358759,True,,0.0078125,0.0078125,,8.044052124023438,8.148744583129883,268.3576354980469,292.9774169921875,310.677490234375
14,4.588786035225896,False,,,,,,,,,
15,4.48352732418659,True,,0.068359375,0.015625,,7.8167033195495605,8.013153076171875,304.5255126953125,332.18084716796875,351.1778869628906
16,4.3004085181834935,False,,,,,,,,,
17,4.159433704897568,True,,0.087890625,0.021484375,,7.884754180908203,8.117637634277344,257.61126708984375,280.90771484375,297.010986328125
18,4.3861987337418,False,,,,,,,,,
19,4.6268264554467,True,,0.021484375,0.009765625,,8.344548225402832,8.361878395080566,285.1947021484375,311.32861328125,329.3061218261719
