epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.10974167397526077,0.670760697837919,0.09233143925666809,1093.1,888.9,709.7
2,0.0929270427282438,0.7028279789946973,0.09039144963026047,1080.7,894.8,715.3
3,0.08940912141856033,0.7102641291171312,0.0875486359000206,1071.9,854.8,715.3
4,0.08612964996532425,0.7173098236955703,0.09344982355833054,1042.7,850.2,884.9
5,0.08724702263394078,0.7207910070121288,0.09378693252801895,1103.8,916.2,956.9
6,0.08968951339533042,0.7183545480743051,0.09376516938209534,1114.7,912.2,956.9
7,0.08990882087588307,0.7218937847539783,0.09360671043395996,1113.2,909.0,956.9
8,0.08693603927479475,0.734727013066411,0.0878821387887001,1111.4,903.7,956.9
