epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.0956129590686929,0.7149327848106622,0.09018407016992569,580.1,328.1,781.0,1514.0,3104,0,0,179,0,0,0,0
2,0.09107355257422513,0.7261254019550979,0.09547174721956253,390.9,277.0,935.9,1518.0,3104,0,0,73,0,0,0,0
3,0.09005444769897186,0.7347526195645332,0.08843648433685303,386.8,280.1,935.9,1518.0,3104,0,0,44,0,0,0,0
4,0.08837696267002365,0.7415705725960433,0.09019861370325089,382.7,232.6,935.9,1518.0,3104,0,0,74,0,0,0,0
5,0.08861234036283187,0.7473376109786332,0.09187638759613037,324.5,223.1,935.9,1518.0,3104,0,0,68,0,0,0,0
6,0.08837020631472114,0.7514125891961158,0.08994320780038834,285.5,178.8,935.9,1518.0,3104,0,0,69,0,0,0,0
7,0.08963995985998949,0.7540385451614857,0.08954575657844543,261.8,174.0,935.9,1518.0,3104,0,0,66,0,0,0,0
