epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,2.82649032374703,0.04975000057602301,0.38934531807899475,422.9,390.8,708.4
2,2.2392324277552236,0.09650000088545493,0.40485355257987976,425.2,390.6,713.2
3,2.2824974897978962,0.0610000007126946,0.4988110065460205,417.2,391.7,713.2
4,2.3967062051169536,0.09437500101444311,0.40588095784187317,425.0,391.6,713.6
5,2.206809479890814,0.03950000047124922,0.4749312698841095,411.4,392.8,713.6
6,2.263401040362851,0.024625000262167306,0.4442078173160553,424.2,391.7,713.6
7,2.2141871881945696,0.041375000299769454,0.4124610424041748,424.2,394.5,713.6
8,2.2202326025939794,0.049000000512925905,0.42029353976249695,773.2,660.9,713.6
