,False,True
Edge Weights,0.815923571961301,0.7453601673060001
Left Weights,0.692574014172575,0.8201846148689024
Right Weights,0.5123205398749707,0.8178947253860548
Second Linear Layer,0.8151462017195931,0.7684951254300271
