cell,scenario,segment,pair,n,mean_diff,ci_lo,ci_hi,n_neg,n_pos,rel_mean_diff
N4,B,pre,hist-cur,50,2.3643631106370357e-05,-9.463236037561548e-07,4.9843903140658285e-05,23,27,3.092954791820685e-05
N4,B,pre,hist-in,50,-9.347418325163726e-05,-0.00010848478633086491,-7.986819906279862e-05,50,0,-0.00012226004297240673
N4,B,pre,in-cur,50,0.0001171178143580076,8.725210290870376e-05,0.00014663853272325918,5,45,0.00015320832214666294
N4,B,pre,hist-legs,50,-1.8930914401271704e-06,-2.8744450333950646e-05,2.5650721233091093e-05,30,20,-2.4763754014336632e-06
N4,B,pre,cur-legs,50,-2.5536722546497525e-05,-3.7613807573909946e-05,-1.4278780568248495e-05,40,10,-3.340489012149079e-05
N8,A,all,hist-cur,50,-6.655079863940705e-05,-8.695046698600547e-05,-4.8111134410698514e-05,45,5,-0.00015299576883381566
N8,A,all,hist-in,50,2.1717752324873498e-06,3.3866077730547455e-07,4.091603568847413e-06,21,29,4.993552770967449e-06
N8,A,all,in-cur,50,-6.87225738718944e-05,-8.984338462053647e-05,-5.061889732150006e-05,44,6,-0.00015798853268070797
N8,A,all,hist-legs,50,-6.64822592326142e-05,-7.754243514911211e-05,-5.5204580558266034e-05,47,3,-0.00015283822547214543
N8,A,all,cur-legs,50,6.853940679285575e-08,-1.9028716499506286e-05,2.101820296120141e-05,31,19,1.5756746882624962e-07
N8,A,post,hist-cur,50,0.0006029645582282117,0.0004944526823490543,0.0007212988675341132,0,50,0.0013859690211140958
N8,A,post,hist-in,50,1.580853687759287e-05,-3.6606823447167856e-05,6.388645186553485e-05,19,31,3.6288387628713425e-05
N8,A,post,in-cur,50,0.0005871560213506189,0.0004553416638710555,0.0007322111152358241,1,49,0.001349631657528638
N8,A,post,hist-legs,50,-3.927061122709186e-05,-0.0001005762620936075,2.0291563038077075e-05,22,28,-9.013402187510152e-05
N8,A,post,cur-legs,50,-0.0006422351694553035,-0.0007983291325103113,-0.0005006179007719756,50,0,-0.0014740600414365039
N8,A,pre,hist-cur,50,-0.0007600054568299281,-0.000861577903265325,-0.0006599839524421987,50,0,-0.0016965636735700696
N8,A,pre,hist-in,50,-7.78446072590483e-05,-0.00013118854999420192,-2.7975219716035793e-05,30,20,-0.00017403789779630877
N8,A,pre,in-cur,50,-0.0006821608495708797,-0.0007927345778393102,-0.0005809102740283841,50,0,-0.0015227907990832167
N8,A,pre,hist-legs,50,-0.00016554257712474152,-0.00022646547854997685,-0.00010111686216095097,36,14,-0.00037003249694235837
N8,A,pre,cur-legs,50,0.0005944628797051865,0.0004887146789534547,0.0007168313852584597,0,50,0.0013287855459148752
N8,B,all,hist-cur,50,4.6002320881909366e-05,3.6216140469863985e-05,5.549896068388155e-05,4,46,0.000106651602677965
N8,B,all,hist-in,50,2.3338642967940525e-07,-4.2431286743217775e-07,9.053699581931946e-07,19,31,5.41024786811285e-07
N8,B,all,in-cur,50,4.5768934452229957e-05,3.620255979875695e-05,5.5275020866220076e-05,4,46,0.00010611052048273199
N8,B,all,hist-legs,50,-2.534819152511969e-05,-3.143043056294928e-05,-1.8951360746864793e-05,48,2,-5.875742953953728e-05
N8,B,all,cur-legs,50,-7.135051240702905e-05,-8.361222123399354e-05,-5.85574865291865e-05,47,3,-0.0001653913929603739
N8,B,post,hist-cur,50,4.1179696364589954e-05,5.11817380632139e-06,7.841688076911278e-05,18,32,9.587741908179936e-05
N8,B,post,hist-in,50,0.00010164440093771377,8.468878114680373e-05,0.0001192069160494286,0,50,0.00023668884957978877
N8,B,post,in-cur,50,-6.0464704573123805e-05,-0.00010018297046120373,-2.22607185919903e-05,33,17,-0.00014077810988911372
N8,B,post,hist-legs,50,-2.6639987904851782e-05,-6.62743227920373e-05,1.5730682390800364e-05,29,21,-6.20152712018144e-05
N8,B,post,cur-legs,50,-6.781968426944174e-05,-8.98281798259891e-05,-4.445184003830424e-05,44,6,-0.00015787755339126367
N8,B,pre,hist-cur,50,3.846414402756182e-05,-2.040715500105788e-06,8.028495934500752e-05,19,31,8.641828097418736e-05
N8,B,pre,hist-in,50,-0.00011765895254334302,-0.00014445673062913226,-9.44952801564133e-05,50,0,-0.0002642543955117895
N8,B,pre,in-cur,50,0.00015612309657090485,0.0001152917835924618,0.00019867413160105308,10,40,0.00035076536777620506
N8,B,pre,hist-legs,50,-4.407813378302261e-05,-8.495121591525492e-05,-5.954715096778038e-06,28,22,-9.901299952518173e-05
N8,B,pre,cur-legs,50,-8.254227781058443e-05,-0.00010378147399281866,-6.203561863392043e-05,47,3,-0.00018541525723157277
R1_theta0,A,all,hist-cur,50,-6.661338147750939e-18,-4.9960036108132046e-17,3.552713678800501e-17,18,15,-2.259434918732796e-17
R1_theta0,A,all,hist-in,50,-3.5405012255296243e-15,-5.618180920485827e-14,5.0522502847982773e-14,25,24,-1.2008896593064672e-14
R1_theta0,A,all,in-cur,50,3.533839887381873e-15,-5.066305708290031e-14,5.6996074526694e-14,25,25,1.1986302243877483e-14
R1_theta0,A,all,hist-legs,50,-0.07464740512483639,-0.07800392362888126,-0.07135353856334391,50,0,-0.20203882450473953
R1_theta0,A,all,cur-legs,50,-0.07464740512483639,-0.07793328799776084,-0.07140045638950594,50,0,-0.20203882450473953
R1_theta0,A,post,hist-cur,50,-1.1102230246251566e-18,-6.052103262987884e-17,5.88418203051333e-17,21,18,-3.649560668448156e-18
R1_theta0,A,post,hist-in,50,8.972267373508202e-15,-3.5370317785776704e-16,1.8332654838637553e-14,20,30,2.949392454206464e-14
