cell,scenario,method,segment,mean,std,count,alpha
N32,A,cur,all,0.0948458974487213,0.005375782825872696,50,0.03
N32,A,cur,post,0.09520873861482261,0.015197645073331354,50,0.03
N32,A,cur,pre,0.10056885441086207,0.016783248174485784,50,0.03
N32,A,hist,all,0.09248799445790751,0.005303398557016594,50,0.1
N32,A,hist,post,0.09348576885751787,0.014951603832977865,50,0.1
N32,A,hist,pre,0.09743819526366539,0.016480043599057227,50,0.1
N32,A,in,all,0.09248973729528588,0.005306619827515716,50,0.1
N32,A,in,post,0.09348565770655505,0.014954548608673875,50,0.1
N32,A,in,pre,0.09744256368557341,0.016484208553390996,50,0.1
N32,A,legs,all,0.09597326516757172,0.005381042684425912,50,0.0
N32,A,legs,post,0.09689438398002018,0.015534954366812528,50,0.0
N32,A,legs,pre,0.1012213282844572,0.01697751523025891,50,0.0
N32,A,point,all,0.20749241435373356,0.032693132605044854,50,3.0
N32,A,point,post,0.20989684859096822,0.04582082444526353,50,3.0
N32,A,point,pre,0.21832430745088702,0.04741596095765061,50,3.0
N32,B,cur,all,0.08476281033100493,0.002011249798885451,50,0.1
N32,B,cur,post,0.08566828929610514,0.012598879310703115,50,0.1
N32,B,cur,pre,0.08920496188859443,0.014039284050570457,50,0.1
N32,B,hist,all,0.08732324572370466,0.0017225331066211115,50,0.03
N32,B,hist,post,0.08784228417251753,0.012918360909995328,50,0.03
N32,B,hist,pre,0.09229497135681256,0.01417628128757301,50,0.03
N32,B,in,all,0.08732348225750006,0.0017228910404673513,50,0.03
N32,B,in,post,0.08784265719590013,0.012918771527895482,50,0.03
N32,B,in,pre,0.09229516900779464,0.014176783666720403,50,0.03
N32,B,legs,all,0.08856859198218389,0.0017337860216849077,50,0.0
N32,B,legs,post,0.0893804553018931,0.013181084005501062,50,0.0
N32,B,legs,pre,0.09334475370555728,0.014549298145095202,50,0.0
N32,B,point,all,0.26553028034572784,0.01616141963554021,50,1.0
N32,B,point,post,0.22858240591247178,0.03530995565166048,50,1.0
N32,B,point,pre,0.3124865137597409,0.032386000727383644,50,1.0
N4,A,cur,all,0.7740945716853662,0.12641532410168324,50,0.03
N4,A,cur,post,0.7710696356038558,0.13255200686252566,50,0.03
N4,A,cur,pre,0.7661759513716768,0.16916672671120422,50,0.03
N4,A,hist,all,0.7740770122994391,0.1264297906699685,50,0.03
N4,A,hist,post,0.7713052807124933,0.1324998552808805,50,0.03
N4,A,hist,pre,0.7658577339537405,0.16930667903252403,50,0.03
N4,A,in,all,0.7740753054983549,0.12643041257829812,50,0.03
N4,A,in,post,0.7713743703024505,0.1324580966012919,50,0.03
N4,A,in,pre,0.7658557380973339,0.1692881624097671,50,0.03
N4,A,legs,all,0.7740921780386267,0.12643144230212455,50,0.0
N4,A,legs,post,0.771387327035453,0.13245141781125888,50,0.0
N4,A,legs,pre,0.7658819837590294,0.16927332690598731,50,0.0
N4,A,point,all,0.20749241435373356,0.03269313260504485,50,3.0
N4,A,point,post,0.20989684859096822,0.04582082444526352,50,3.0
N4,A,point,pre,0.21832430745088702,0.04741596095765061,50,3.0
N4,B,cur,all,0.7737104320633424,0.1313116727531635,50,0.03
N4,B,cur,post,0.7714525169969069,0.13433796914698276,50,0.03
N4,B,cur,pre,0.7644350693031761,0.17769552759878415,50,0.03
N4,B,hist,all,0.7737206318518627,0.13131333227840652,50,0.01
N4,B,hist,post,0.771455116631786,0.1343469273635504,50,0.01
N4,B,hist,pre,0.7644587129342824,0.17765429870679347,50,0.01
N4,B,in,all,0.7737207488859192,0.13131355893813068,50,0.01
N4,B,in,post,0.7713553505722939,0.13435284565094474,50,0.01
N4,B,in,pre,0.764552187117534,0.17766590248637112,50,0.01
N4,B,legs,all,0.773727380305148,0.13131252437981522,50,0.0
N4,B,legs,post,0.7714685824338925,0.13434073378119982,50,0.0
N4,B,legs,pre,0.7644606060257226,0.1776794525614645,50,0.0
N4,B,point,all,0.26553028034572784,0.0161614196355402,50,1.0
N4,B,point,post,0.22858240591247178,0.03530995565166047,50,1.0
N4,B,point,pre,0.3124865137597409,0.032386000727383644,50,1.0
N8,A,cur,all,0.4349845694863279,0.15016276951403656,50,0.03
N8,A,cur,post,0.43504908770870315,0.14142350448642277,50,0.03
N8,A,cur,pre,0.4479675409002792,0.18006186936410323,50,0.03
N8,A,hist,all,0.4349180186876885,0.15020755739807096,50,0.03
N8,A,hist,post,0.4356520522669314,0.1413263784423142,50,0.03
N8,A,hist,pre,0.4472075354434492,0.18024741951687745,50,0.03
N8,A,in,all,0.434915846912456,0.15020638951637477,50,0.03
N8,A,in,post,0.4356362437300538,0.14132077530694492,50,0.03
N8,A,in,pre,0.44728538005070834,0.1802995423110517,50,0.03
N8,A,legs,all,0.4349845009469211,0.15019408127569905,50,0.0
N8,A,legs,post,0.4356913228781585,0.14130556393560595,50,0.0
N8,A,legs,pre,0.447373078020574,0.1803149137041594,50,0.0
N8,A,point,all,0.20749241435373356,0.03269313260504484,50,3.0
N8,A,point,post,0.20989684859096822,0.04582082444526353,50,3.0
N8,A,point,pre,0.21832430745088702,0.04741596095765061,50,3.0
N8,B,cur,all,0.4313326731789825,0.15832897513962305,50,0.03
N8,B,cur,post,0.42950359697789564,0.14905787182462163,50,0.03
N8,B,cur,pre,0.4450926770812629,0.18974449496037088,50,0.03
N8,B,hist,all,0.4313786754998645,0.1583196919727298,50,0.01
N8,B,hist,post,0.4295447766742603,0.14904864516700017,50,0.01
N8,B,hist,pre,0.44513114122529046,0.18971204054949226,50,0.01
N8,B,in,all,0.4313784421134348,0.1583197713477914,50,0.01
N8,B,in,post,0.42944313227332254,0.14900241998837285,50,0.01
N8,B,in,pre,0.44524880017783375,0.18977668216426297,50,0.01
N8,B,legs,all,0.4314040236913895,0.15831274332581471,50,0.0
N8,B,legs,post,0.4295714166621651,0.14905010316287132,50,0.0
N8,B,legs,pre,0.44517521935907345,0.1897308497027515,50,0.0
N8,B,point,all,0.26553028034572784,0.0161614196355402,50,1.0
N8,B,point,post,0.22858240591247178,0.03530995565166047,50,1.0
N8,B,point,pre,0.3124865137597409,0.03238600072738365,50,1.0
R1_theta0,A,cur,all,0.29332384447856585,0.02496277787444416,50,1.0
R1_theta0,A,cur,post,0.2951297435589514,0.03631766183828735,50,1.0
R1_theta0,A,cur,pre,0.2976707685682396,0.03696741263796077,50,1.0
R1_theta0,A,hist,all,0.2933238444785657,0.024962777874444377,50,1.0
R1_theta0,A,hist,post,0.29512974355895144,0.03631766183828736,50,1.0
R1_theta0,A,hist,pre,0.2976707685682393,0.036967412637961015,50,1.0
R1_theta0,A,in,all,0.2933238444785889,0.024962777874464343,50,1.0
R1_theta0,A,in,post,0.2951297435589509,0.03631766183828833,50,1.0
R1_theta0,A,in,pre,0.29767076856828734,0.03696741263801551,50,1.0
R1_theta0,A,legs,all,0.36953814317020367,0.03509580355157774,50,0.0
