cell,scenario,method,alpha,segment,mean,std,count
N32,A,legs,0.01,all,0.09597326516757172,0.005381042684425912,50
N32,A,legs,0.01,post,0.09689438398002018,0.015534954366812528,50
N32,A,legs,0.01,pre,0.1012213282844572,0.01697751523025891,50
N32,A,legs,0.03,all,0.09597326516757172,0.005381042684425912,50
N32,A,legs,0.03,post,0.09689438398002018,0.015534954366812528,50
N32,A,legs,0.03,pre,0.1012213282844572,0.01697751523025891,50
N32,A,legs,0.1,all,0.09597326516757172,0.005381042684425912,50
N32,A,legs,0.1,post,0.09689438398002018,0.015534954366812528,50
N32,A,legs,0.1,pre,0.1012213282844572,0.01697751523025891,50
N32,A,legs,0.3,all,0.09597326516757172,0.005381042684425912,50
N32,A,legs,0.3,post,0.09689438398002018,0.015534954366812528,50
N32,A,legs,0.3,pre,0.1012213282844572,0.01697751523025891,50
N32,A,legs,1.0,all,0.09597326516757172,0.005381042684425912,50
N32,A,legs,1.0,post,0.09689438398002018,0.015534954366812528,50
N32,A,legs,1.0,pre,0.1012213282844572,0.01697751523025891,50
N32,A,legs,3.0,all,0.09597326516757172,0.005381042684425912,50
N32,A,legs,3.0,post,0.09689438398002018,0.015534954366812528,50
N32,A,legs,3.0,pre,0.1012213282844572,0.01697751523025891,50
N32,A,legs,10.0,all,0.09597326516757172,0.005381042684425912,50
N32,A,legs,10.0,post,0.09689438398002018,0.015534954366812528,50
N32,A,legs,10.0,pre,0.1012213282844572,0.01697751523025891,50
N32,A,legs,30.0,all,0.09597326516757172,0.005381042684425912,50
N32,A,legs,30.0,post,0.09689438398002018,0.015534954366812528,50
N32,A,legs,30.0,pre,0.1012213282844572,0.01697751523025891,50
N32,A,legs,100.0,all,0.09597326516757172,0.005381042684425912,50
N32,A,legs,100.0,post,0.09689438398002018,0.015534954366812528,50
N32,A,legs,100.0,pre,0.1012213282844572,0.01697751523025891,50
N32,A,point,0.0,all,0.3163081368633068,0.0016254169910733462,50
N32,A,point,0.0,post,0.31898570576049795,0.0452582436996545,50
N32,A,point,0.0,pre,0.3338272306822593,0.05379178054202927,50
N32,A,point,0.01,all,0.31422911438638823,0.0016798923715501787,50
N32,A,point,0.01,post,0.3168893168107511,0.04493907235902316,50
N32,A,point,0.01,pre,0.3316312657384074,0.05344562807721211,50
N32,A,point,0.03,all,0.3102123901481906,0.0018497266017460032,50
N32,A,point,0.03,post,0.3128392435818109,0.04432663511303494,50
N32,A,point,0.03,pre,0.3273884094435867,0.05277856497862087,50
N32,A,point,0.1,all,0.2975005423371022,0.002703325703996087,50
N32,A,point,0.1,post,0.30002413361154984,0.042425413470608554,50
N32,A,point,0.1,pre,0.313958750095773,0.050680890000628746,50
N32,A,point,0.3,all,0.27010560728410105,0.005149842019184549,50
N32,A,point,0.3,post,0.27242659060044067,0.03856962000869468,50
N32,A,point,0.3,pre,0.28499844896682364,0.04623804602560507,50
N32,A,point,1.0,all,0.22643652077769608,0.014116254104638364,50
N32,A,point,1.0,post,0.22858240591247178,0.03530995565166048,50
N32,A,point,1.0,pre,0.23870394197683203,0.04072800812978743,50
N32,A,point,3.0,all,0.20749241435373356,0.032693132605044854,50
N32,A,point,3.0,post,0.20989684859096822,0.04582082444526353,50
N32,A,point,3.0,pre,0.21832430745088702,0.04741596095765061,50
N32,A,point,10.0,all,0.216231566171319,0.05007242520759278,50
N32,A,point,10.0,post,0.21904940466322823,0.06174004040039932,50
N32,A,point,10.0,pre,0.22720645151815905,0.06132685509314116,50
N32,A,point,30.0,all,0.22704044823498126,0.05810696064523959,50
N32,A,point,30.0,post,0.22999476438492933,0.06978228805718424,50
N32,A,point,30.0,pre,0.23853971031631815,0.06890868567830373,50
N32,A,point,100.0,all,0.23413364878118795,0.06182431851532967,50
N32,A,point,100.0,post,0.23708404294686325,0.07370773861495827,50
N32,A,point,100.0,pre,0.24605520083140817,0.07250624641182511,50
N32,B,cur,0.0,all,0.08856859198218388,0.0017337860216849151,50
N32,B,cur,0.0,post,0.0893804553018931,0.013181084005501062,50
N32,B,cur,0.0,pre,0.09334475370555728,0.014549298145095205,50
N32,B,cur,0.01,all,0.08800294970268746,0.0017239125614453724,50
N32,B,cur,0.01,post,0.0888222564016636,0.013087050596583391,50
N32,B,cur,0.01,pre,0.09273587956974669,0.014466967432215313,50
N32,B,cur,0.03,all,0.08700567818092272,0.0017156091865728352,50
N32,B,cur,0.03,post,0.0878413560515658,0.012922028945363437,50
N32,B,cur,0.03,pre,0.09165915125943991,0.01432298992783927,50
N32,B,cur,0.1,all,0.08476281033100493,0.002011249798885451,50
N32,B,cur,0.1,post,0.08566828929610514,0.012598879310703115,50
N32,B,cur,0.1,pre,0.08920496188859443,0.014039284050570457,50
N32,B,cur,0.3,all,0.08558771724342776,0.006537791280234736,50
N32,B,cur,0.3,post,0.08673147379525034,0.014322657398609995,50
N32,B,cur,0.3,pre,0.08985056575633128,0.015452898955713104,50
N32,B,cur,1.0,all,0.10940494298825115,0.02286592007082196,50
N32,B,cur,1.0,post,0.11118550391936997,0.029103928494637377,50
N32,B,cur,1.0,pre,0.11457213180069274,0.028987714390885818,50
N32,B,cur,3.0,all,0.15307522483425742,0.04069328865244676,50
N32,B,cur,3.0,post,0.15562395853208724,0.048683692942482676,50
N32,B,cur,3.0,pre,0.16024208982492996,0.0475743931907619,50
N32,B,cur,10.0,all,0.1926349856865383,0.054294709282829944,50
