N,path,p,T,recursion_vs_batch_C,recursion_vs_batch_K,paper_eq8_vs_batch_C,paper_eq8_vs_batch_K,moments_eq56_vs_batch_K,cg_moments_vs_dense_H,cg_iterations,hcur_eq59_vs_resolvent,K_min_eig,K_max_eig,bound_1_plus_2alpha
8,none,40,200,1.0510951042377331e-13,1.5846698953048126e-14,7.342815092398606e-15,1.998401444325281e-15,1.942890293094023e-14,2.8271391608226594e-13,23,4.3351502347621454e-14,1.0000000001406073,4.368117140360107,7.0
16,none,40,200,5.934815258901543e-13,1.5515366769136545e-13,1.087165880659475e-14,1.7763568394002485e-15,1.5944662684248864e-14,8.317739487609693e-13,23,2.988330859147021e-14,0.9999999999999939,4.660488771953477,7.0
16,drift,40,200,7.819401301469732e-13,1.7844406507983004e-13,1.4102788092611642e-14,2.775557561562888e-15,1.5944662684248864e-14,1.0610726337695483e-12,23,3.726309996059883e-14,0.999999999999985,4.5860273686990345,7.0
16,many,40,200,6.420879312011685e-13,6.438773125783107e-14,8.016975116740623e-15,1.7763568394002485e-15,1.5944662684248864e-14,6.381964373695605e-13,23,3.02601469730104e-14,0.9999999999999978,4.600520364009678,7.0
32,none,40,200,6.328409225770102e-13,2.974408913614106e-13,1.9677730906626466e-14,2.997602166487916e-15,3.825507366930463e-13,7.60660997051833e-13,23,3.240034812126178e-14,0.9999999999999831,4.468533629012474,7.0
