epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.08496609035655113,0.733187343724072,0.08362787216901779,1653.1,675.1,588.6,1894.0,6208,0,0,368,0,0,0,0
2,0.08121962114130292,0.7499940873868763,0.08246175944805145,630.1,406.7,666.1,1896.0,6208,0,0,121,0,0,0,0
3,0.08209780409706473,0.7656616090945899,0.08360964059829712,378.5,203.0,666.1,1896.0,6208,0,0,92,0,0,0,0
4,0.08238978265230645,0.7787118186540901,0.08000615239143372,329.3,205.8,763.1,1896.0,6208,0,0,104,0,0,0,0
5,0.08493492444711423,0.7891923534683883,0.08330121636390686,256.1,69.4,763.1,1898.0,6208,0,0,156,0,0,0,0
