split,activity,n_sample,dt_q,dt_uncapped_q,gap_used_q,gap_since_update_q,gap_since_interaction_q,preact_q,time_term_q
test,closure,13167,"[0.000517, 0.001217, 0.002138, 0.003773, 0.008728]","[0.000517, 0.001217, 0.002138, 0.003773, 0.008728]","[3590.0, 3598.0, 3600.0, 3603.0, 3609.0]","[3592.0, 3599.0, 3603.0, 10798.0, 100794.5]","[227618.3, 1603688.0, 2175842.0, 2365311.0, 2523975.8]","[-8.340984, -7.486323, -6.921432, -6.352474, -5.512655]","[0.774249, 0.775409, 0.775699, 0.776133, 0.777002]"
test,endpoint,16255,"[0.000687, 0.002616, 0.01232, 0.249353, 0.25]","[0.000687, 0.002616, 0.01232, 0.249353, 0.862127]","[3591.0, 3598.0, 3600.0, 3603.0, 3609.0]","[3599.0, 18002.0, 104401.0, 437785.0, 1470789.0]","[4697.0, 20902.0, 107641.0, 441301.5, 1506230.0]","[-8.057753, -6.719642, -5.16529, -2.037408, -0.461672]","[0.774394, 0.775409, 0.775699, 0.776133, 0.777002]"
train_replay,closure,63811,"[0.0005, 0.001165, 0.002095, 0.003723, 0.009273]","[0.0005, 0.001165, 0.002095, 0.003723, 0.009273]","[3591.0, 3597.0, 3600.0, 3602.0, 3610.0]","[3593.0, 3599.0, 3603.0, 10801.0, 93597.0]","[34273.9, 245129.0, 629207.0, 1118919.0, 1622440.7]","[-8.376111, -7.529192, -6.941931, -6.36652, -5.450629]","[0.774394, 0.775264, 0.775699, 0.775989, 0.777146]"
train_replay,endpoint,78865,"[0.000701, 0.002669, 0.012351, 0.25, 0.25]","[0.000701, 0.002669, 0.012351, 0.252519, 0.867681]","[3591.0, 3598.0, 3600.0, 3602.0, 3609.0]","[3599.0, 10803.0, 68405.0, 234000.0, 705605.0]","[4402.35, 14687.0, 74411.5, 244687.5, 737119.8]","[-8.037808, -6.700075, -5.163172, -2.02267, -0.451692]","[0.774394, 0.775409, 0.775699, 0.775989, 0.777002]"
val,closure,11109,"[0.000508, 0.001212, 0.002175, 0.003841, 0.008741]","[0.000508, 0.001212, 0.002175, 0.003841, 0.008741]","[3594.0, 3598.0, 3600.0, 3601.0, 3607.0]","[3595.0, 3599.0, 3601.0, 10800.0, 86393.6]","[195032.6, 1325403.0, 1823689.0, 1966456.0, 2095714.2]","[-8.358674, -7.488172, -6.902799, -6.332539, -5.508952]","[0.774829, 0.775409, 0.775699, 0.775844, 0.776712]"
val,endpoint,16793,"[0.000693, 0.002642, 0.011835, 0.245606, 0.25]","[0.000693, 0.002642, 0.011835, 0.245606, 0.841522]","[3595.0, 3598.0, 3600.0, 3601.0, 3607.0]","[3599.0, 17999.0, 86393.0, 367002.0, 1229198.5]","[4653.0, 19321.5, 87639.0, 375132.0, 1255576.0]","[-8.048613, -6.709709, -5.203217, -2.05378, -0.495522]","[0.774974, 0.775409, 0.775699, 0.775844, 0.776712]"
